Phi_ext,I_s_original,I_s_trend,I_s_detrended,I_s_ls_fit
0.0028546,1.68e-06,1.5561101376529786e-06,1.238898623470214e-07,1.3002578881799337e-06
0.0028548,1.56e-06,1.556769337500295e-06,3.2306624997050514e-09,1.2375542506240423e-06
0.002855,1.56e-06,1.5574285373476132e-06,2.5714626523869055e-09,1.180202122571514e-06
0.0028552,1.38e-06,1.5580877371949296e-06,-1.7808773719492973e-07,1.129215778477204e-06
0.0028554,1.32e-06,1.5587469370422478e-06,-2.387469370422477e-07,1.0854981929530868e-06
0.0028556,1.32e-06,1.5594061368895642e-06,-2.394061368895642e-07,1.049825253084337e-06
0.0028558,1.26e-06,1.5600653367368824e-06,-3.000653367368824e-07,1.0228321927606287e-06
0.002856,1.2e-06,1.5607245365841988e-06,-3.607245365841989e-07,1.0050024861985583e-06
0.0028562,1.14e-06,1.561383736431517e-06,-4.213837364315169e-07,9.966593948417428e-07
0.0028564,1.14e-06,1.5620429362788334e-06,-4.2204293627883334e-07,9.979603154337818e-07
0.0028566,1.08e-06,1.5627021361261516e-06,-4.827021361261515e-07,1.0088940280803073e-06
0.0028568,1.02e-06,1.563361335973468e-06,-5.433613359734681e-07,1.0292808924188808e-06
0.002857,1.02e-06,1.5640205358207862e-06,-5.440205358207862e-07,1.0587759884655237e-06
0.0028572,9.6e-07,1.5646797356681026e-06,-6.046797356681027e-07,1.096875147221434e-06
0.0028574,9.6e-07,1.5653389355154208e-06,-6.053389355154209e-07,1.142923765602061e-06
0.0028576,9.00000000000001e-07,1.565998135362739e-06,-6.659981353627379e-07,1.1961282515671283e-06
0.0028578,9.00000000000001e-07,1.5666573352100554e-06,-6.666573352100544e-07,1.2555698993441343e-06
0.002858,1.02e-06,1.5673165350573718e-06,-5.473165350573719e-07,1.320220952157126e-06
0.0028582,1.2e-06,1.56797573490469e-06,-3.6797573490469003e-07,1.3889625715755886e-06
0.0028584,1.2e-06,1.5686349347520081e-06,-3.686349347520082e-07,1.4606043994126819e-06
0.0028586,1.2e-06,1.5692941345993246e-06,-3.6929413459932463e-07,1.5339053700105772e-06
0.0028588,1.38e-06,1.569953334446641e-06,-1.899533344466411e-07,1.6075954091334323e-06
0.002859,1.44e-06,1.5706125342939592e-06,-1.306125342939592e-07,1.6803976400417712e-06
0.0028592,1.56e-06,1.5712717341412773e-06,-1.1271734141277219e-08,1.751050708502352e-06
0.0028594,1.68e-06,1.5719309339885938e-06,1.0806906601140624e-07,1.818330836408464e-06
0.0028596,1.74e-06,1.5725901338359102e-06,1.6740986616408985e-07,1.8810732183804482e-06
0.0028598,1.86e-06,1.5732493336832284e-06,2.867506663167716e-07,1.938192387355297e-06
0.00286,1.86e-06,1.5739085335305465e-06,2.8609146646945347e-07,1.9887011929455037e-06
0.0028602,1.92e-06,1.574567733377863e-06,3.4543226662213686e-07,2.0317280608589373e-06
0.0028604,1.98e-06,1.5752269332251794e-06,4.047730667748207e-07,2.0665322315699496e-06
0.0028606,1.98e-06,1.5758861330724976e-06,4.0411386692750254e-07,2.0925167118151684e-06
