Parameter,Initial_Value,Fitted_Value,Standard_Error
I_c,6.690878945155523e-07,6.690850940138631e-07,0.0
f,4874333.33333332,4874415.416468997,0.0
d,-0.0024999999999999996,-0.002526339112436276,0.0
phi_0,-1.6095425673241963,-1.6095476439523493,0.0
T,0.5,0.49999994996354247,0.0
r,-0.0028011502265598786,-0.0028011497180259783,0.0
C,7.804635761589403e-07,7.804637482794543e-07,0.0
