Phi_ext,I_s_measured,I_s_josephson_fit,residuals
0.0028644,1.38e-06,1.0517567723892147e-05,-9.137567723892146e-06
0.0028646,1.32e-06,1.0543139701175906e-05,-9.223139701175906e-06
0.0028648,1.32e-06,1.058142006535592e-05,-9.261420065355921e-06
0.002865,1.26e-06,1.0632501013942125e-05,-9.372501013942125e-06
0.0028652,1.14e-06,1.0696072675881945e-05,-9.556072675881946e-06
0.0028654,1.08e-06,1.0771333510036684e-05,-9.691333510036685e-06
0.0028656,1.14e-06,1.0856925092143842e-05,-9.716925092143842e-06
0.0028658,1.14e-06,1.0950913269125589e-05,-9.81091326912559e-06
0.002866,1.14e-06,1.1050834863572383e-05,-9.910834863572383e-06
0.0028662,1.08e-06,1.1153818431033568e-05,-1.0073818431033568e-05
0.0028664,9.6e-07,1.1256770372156412e-05,-1.0296770372156413e-05
0.0028666,9.00000000000001e-07,1.1356599422593263e-05,-1.0456599422593262e-05
0.0028668,9.00000000000001e-07,1.1450440729582777e-05,-1.0550440729582775e-05
0.002867,9.6e-07,1.1535840855083457e-05,-1.0575840855083457e-05
0.0028672,1.2e-06,1.1610877058615205e-05,-1.0410877058615204e-05
0.0028674,1.02e-06,1.1674202544263607e-05,-1.0654202544263606e-05
0.0028676,1.2e-06,1.1725026466468225e-05,-1.0525026466468225e-05
0.0028678,1.38e-06,1.1763048009553714e-05,-1.0383048009553713e-05
0.002868,1.38e-06,1.1788366504993939e-05,-1.0408366504993939e-05
0.0028682,1.62e-06,1.1801386312746987e-05,-1.0181386312746987e-05
0.0028684,1.68e-06,1.1802729234662342e-05,-1.0122729234662343e-05
0.0028686,1.74e-06,1.179316118825191e-05,-1.005316118825191e-05
0.0028688,1.86e-06,1.1773535187267667e-05,-9.913535187267667e-06
0.002869,1.74e-06,1.174474972596063e-05,-1.000474972596063e-05
0.0028692,1.92e-06,1.170772020185392e-05,-9.78772020185392e-06
0.0028694,1.98e-06,1.1663360576670347e-05,-9.683360576670347e-06
0.0028696,1.98e-06,1.1612572629129017e-05,-9.632572629129017e-06
0.0028698,2.04e-06,1.1556240575402221e-05,-9.516240575402222e-06
0.00287,2.04e-06,1.1495229324637824e-05,-9.455229324637825e-06
0.0028702,2.16e-06,1.1430385094173425e-05,-9.270385094173425e-06
0.0028704,2.1e-06,1.1362537489145596e-05,-9.262537489145595e-06
0.0028706,2.16e-06,1.1292502445700208e-05,-9.132502445700209e-06
0.0028708,2.16e-06,1.1221085653551636e-05,-9.061085653551636e-06
0.002871,2.16e-06,1.1149086225171295e-05,-8.989086225171295e-06
0.0028712,2.16e-06,1.107730047841053e-05,-8.917300478410531e-06
0.0028714,2.1e-06,1.1006525757426445e-05,-8.906525757426445e-06
0.0028716,1.98e-06,1.093756424019263e-05,-8.95756424019263e-06
0.0028718,1.98e-06,1.0871226672393063e-05,-8.891226672393063e-06
0.002872,1.98e-06,1.0808335926055475e-05,-8.828335926055475e-06
0.0028722,1.86e-06,1.0749730202015994e-05,-8.889730202015995e-06
0.0028724,1.74e-06,1.0696265569400342e-05,-8.956265569400342e-06
0.0028726,1.68e-06,1.0648817350610734e-05,-8.968817350610733e-06
0.0028728,1.68e-06,1.0608279603328553e-05,-8.928279603328554e-06
0.002873,1.62e-06,1.0575561610823138e-05,-8.955561610823139e-06
0.0028732,1.56e-06,1.0551579867689692e-05,-8.991579867689692e-06
0.0028734,1.44e-06,1.0537243564013243e-05,-9.097243564013243e-06
0.0028736,1.32e-06,1.0533431098443595e-05,-9.213431098443596e-06
0.0028738,1.26e-06,1.054095484051958e-05,-9.28095484051958e-06
0.002874,1.32e-06,1.0560511476503097e-05,-9.240511476503098e-06
0.0028742,1.26e-06,1.0592616199994916e-05,-9.332616199994916e-06
0.0028744,1.08e-06,1.0637521217991598e-05,-9.557521217991598e-06
0.0028746,1.14e-06,1.0695122920473542e-05,-9.555122920473543e-06
0.0028748,1.08e-06,1.0764867577930767e-05,-9.684867577930767e-06
0.002875,1.02e-06,1.0845671686301762e-05,-9.825671686301761e-06
0.0028752,1.08e-06,1.09358779670259e-05,-9.8558779670259e-06
0.0028754,1.02e-06,1.10332684757829e-05,-1.00132684757829e-05
0.0028756,9.6e-07,1.1135149481346808e-05,-1.0175149481346809e-05
0.0028758,9.6e-07,1.1238508288615278e-05,-1.0278508288615279e-05
0.002876,1.02e-06,1.1340223528876091e-05,-1.0320223528876091e-05
0.0028762,1.26e-06,1.1437294581803308e-05,-1.0177294581803308e-05
0.0028764,1.26e-06,1.1527049768247332e-05,-1.0267049768247332e-05
0.0028766,1.32e-06,1.1607299628254365e-05,-1.0287299628254365e-05
0.0028768,1.38e-06,1.1676417803459669e-05,-1.0296417803459668e-05
0.002877,1.56e-06,1.173335062737879e-05,-1.017335062737879e-05
0.0028772,1.56e-06,1.1777570653837648e-05,-1.0217570653837647e-05
0.0028774,1.68e-06,1.180899571806023e-05,-1.0128995718060232e-05
0.0028776,1.68e-06,1.1827894359576482e-05,-1.0147894359576482e-05
0.0028778,1.8e-06,1.1834793402955228e-05,-1.0034793402955228e-05
0.002878,1.74e-06,1.1830397234172216e-05,-1.0090397234172215e-05
0.0028782,1.92e-06,1.1815522869003514e-05,-9.895522869003514e-06
0.0028784,1.92e-06,1.1791051126167882e-05,-9.871051126167882e-06
0.0028786,1.92e-06,1.1757892088727024e-05,-9.837892088727024e-06
0.0028788,2.04e-06,1.1716962165412943e-05,-9.676962165412943e-06
0.002879,2.04e-06,1.16691699807872e-05,-9.6291699807872e-06
0.0028792,2.16e-06,1.1615408647819447e-05,-9.455408647819447e-06
0.0028794,2.16e-06,1.1556552452204288e-05,-9.396552452204288e-06
0.0028796,2.22e-06,1.149345646023219e-05,-9.273456460232189e-06
0.0028798,2.22e-06,1.142695798170745e-05,-9.20695798170745e-06
0.00288,2.16e-06,1.135787915542999e-05,-9.19787915542999e-06
0.0028802,2.16e-06,1.1287030177061564e-05,-9.127030177061565e-06
0.0028804,2.16e-06,1.1215212870858939e-05,-9.05521287085894e-06
0.0028806,2.04e-06,1.114322442947512e-05,-9.10322442947512e-06
0.0028808,2.04e-06,1.107186122357756e-05,-9.031861223577559e-06
0.002881,1.98e-06,1.100192262205502e-05,-9.02192262205502e-06
0.0028812,1.86e-06,1.093421477088121e-05,-9.07421477088121e-06
0.0028814,1.92e-06,1.0869554253106234e-05,-8.949554253106234e-06
0.0028816,1.74e-06,1.0808771492856278e-05,-9.068771492856277e-06
0.0028818,1.68e-06,1.0752713663717057e-05,-9.072713663717058e-06
0.002882,1.62e-06,1.0702246707511178e-05,-9.082246707511178e-06
0.0028822,1.5e-06,1.0658255849064454e-05,-9.158255849064454e-06
0.0028824,1.56e-06,1.0621643693518691e-05,-9.06164369351869e-06
0.0028826,1.5e-06,1.059332460809409e-05,-9.09332460809409e-06
0.0028828,1.38e-06,1.0574213629725733e-05,-9.194213629725733e-06
0.002883,1.38e-06,1.056520764879599e-05,-9.18520764879599e-06
0.0028832,1.38e-06,1.0567156205347955e-05,-9.187156205347955e-06
0.0028834,1.26e-06,1.0580819102301442e-05,-9.320819102301442e-06
0.0028836,1.2e-06,1.0606808518440481e-05,-9.406808518440481e-06
0.0028838,1.26e-06,1.0645514834338305e-05,-9.385514834338305e-06
0.002884,1.2e-06,1.0697018423816493e-05,-9.497018423816493e-06
0.0028842,1.14e-06,1.0760994435194252e-05,-9.620994435194251e-06
0.0028844,9.6e-07,1.0836623669362305e-05,-9.876623669362305e-06
0.0028846,1.02e-06,1.0922528550706362e-05,-9.902528550706362e-06
0.0028848,1.02e-06,1.1016756188982806e-05,-9.996756188982805e-06
0.002885,1.02e-06,1.1116827489824128e-05,-1.0096827489824127e-05
0.0028852,9.6e-07,1.1219860330362951e-05,-1.0259860330362952e-05
0.0028854,1.08e-06,1.1322757471606383e-05,-1.0242757471606383e-05
0.0028856,1.14e-06,1.1422431693202527e-05,-1.0282431693202528e-05
0.0028858,1.38e-06,1.1516029154494245e-05,-1.0136029154494244e-05
0.002886,1.44e-06,1.1601112548806588e-05,-1.0161112548806588e-05
0.0028862,1.5e-06,1.167577795307381e-05,-1.017577795307381e-05
0.0028864,1.62e-06,1.1738697685204765e-05,-1.0118697685204765e-05
0.0028866,1.68e-06,1.1789098437803476e-05,-1.0109098437803476e-05
0.0028868,1.74e-06,1.1826694213589093e-05,-1.0086694213589093e-05
0.002887,1.98e-06,1.1851595996831813e-05,-9.871595996831813e-06
0.0028872,1.98e-06,1.1864216715401504e-05,-9.884216715401505e-06
0.0028874,2.1e-06,1.1865184050554086e-05,-9.765184050554086e-06
0.0028876,2.16e-06,1.1855267640820872e-05,-9.695267640820872e-06
0.0028878,2.1e-06,1.183532260076361e-05,-9.73532260076361e-06
0.002888,2.1e-06,1.1806248381279108e-05,-9.706248381279108e-06
0.0028882,2.16e-06,1.1768960577986922e-05,-9.608960577986922e-06
0.0028884,2.22e-06,1.1724372885125844e-05,-9.504372885125845e-06
0.0028886,2.22e-06,1.1673386559808802e-05,-9.453386559808803e-06
0.0028888,2.22e-06,1.1616885188443958e-05,-9.396885188443957e-06
0.002889,2.28e-06,1.1555733038843978e-05,-9.275733038843977e-06
0.0028892,2.22e-06,1.1490775736638405e-05,-9.270775736638406e-06
0.0028894,2.16e-06,1.1422842381843703e-05,-9.262842381843703e-06
0.0028896,2.22e-06,1.135274851318065e-05,-9.13274851318065e-06
0.0028898,2.16e-06,1.1281299541890531e-05,-9.121299541890532e-06
0.00289,2.16e-06,1.1209294426408862e-05,-9.049294426408863e-06
0.0028902,2.04e-06,1.113752945725076e-05,-9.097529457250762e-06
0.0028904,1.92e-06,1.106680207828365e-05,-9.14680207828365e-06
0.0028906,2.04e-06,1.099791469289387e-05,-8.957914692893869e-06
0.0028908,1.92e-06,1.0931678394008442e-05,-9.011678394008441e-06
0.002891,1.92e-06,1.0868916514391317e-05,-8.948916514391317e-06
0.0028912,1.74e-06,1.0810467812777192e-05,-9.070467812777192e-06
0.0028914,1.68e-06,1.0757188984152213e-05,-9.077188984152212e-06
0.0028916,1.68e-06,1.0709955995148753e-05,-9.029955995148754e-06
0.0028918,1.62e-06,1.066966348620507e-05,-9.04966348620507e-06
0.002892,1.44e-06,1.0637221139026937e-05,-9.197221139026938e-06
0.0028922,1.44e-06,1.0613545481091215e-05,-9.173545481091215e-06
0.0028924,1.38e-06,1.0599545113663279e-05,-9.219545113663279e-06
0.0028926,1.38e-06,1.0596096879853047e-05,-9.216096879853047e-06
0.0028928,1.38e-06,1.060401018815765e-05,-9.22401018815765e-06
0.002893,1.32e-06,1.062397684106429e-05,-9.303976841064291e-06
0.0028932,1.2e-06,1.0656504680150563e-05,-9.456504680150563e-06
0.0028934,1.2e-06,1.0701835618985834e-05,-9.501835618985833e-06
0.0028936,1.14e-06,1.075985257110875e-05,-9.61985257110875e-06
0.0028938,1.02e-06,1.0829985341576777e-05,-9.809985341576776e-06
0.002894,1.02e-06,1.0911131801294306e-05,-9.891131801294306e-06
0.0028942,1.08e-06,1.1001615456093558e-05,-9.921615456093558e-06
0.0028944,1.02e-06,1.1099200766262291e-05,-1.0079200766262291e-05
0.0028946,9.6e-07,1.1201180512005913e-05,-1.0241180512005914e-05
0.0028948,1.08e-06,1.1304534794723934e-05,-1.0224534794723934e-05
0.002895,1.26e-06,1.1406142581219474e-05,-1.0146142581219474e-05
0.0028952,1.08e-06,1.15030110660338e-05,-1.0423011066033801e-05
0.0028954,1.26e-06,1.1592482509673218e-05,-1.0332482509673218e-05
0.0028956,1.32e-06,1.1672385286043151e-05,-1.035238528604315e-05
0.0028958,1.5e-06,1.1741112281225784e-05,-1.0241112281225783e-05
0.002896,1.62e-06,1.1797628318031426e-05,-1.0177628318031426e-05
0.0028962,1.86e-06,1.1841422179237183e-05,-9.981422179237182e-06
0.0028964,1.92e-06,1.1872424900544746e-05,-9.952424900544745e-06
0.0028966,1.98e-06,1.1890915045766272e-05,-9.910915045766272e-06
0.0028968,1.98e-06,1.1897426556862431e-05,-9.917426556862431e-06
0.002897,1.98e-06,1.1892668515212045e-05,-9.912668515212046e-06
0.0028972,2.22e-06,1.1877460756238562e-05,-9.657460756238562e-06
0.0028974,2.22e-06,1.185268555435527e-05,-9.63268555435527e-06
0.0028976,2.28e-06,1.1819253515250411e-05,-9.539253515250411e-06
0.0028978,2.22e-06,1.1778080974120985e-05,-9.558080974120986e-06
0.002898,2.28e-06,1.1730076134910664e-05,-9.450076134910663e-06
0.0028982,2.28e-06,1.1676131518337136e-05,-9.396131518337136e-06
0.0028984,2.28e-06,1.1617120764833574e-05,-9.337120764833574e-06
0.0028986,2.28e-06,1.155389831908153e-05,-9.27389831908153e-06
0.0028988,2.22e-06,1.1487300940504017e-05,-9.267300940504017e-06
0.002899,2.16e-06,1.1418150316491662e-05,-9.258150316491662e-06
0.0028992,2.22e-06,1.1347256305775747e-05,-9.127256305775746e-06
0.0028994,1.98e-06,1.1275420517981074e-05,-9.295420517981075e-06
0.0028996,2.04e-06,1.1203440057060015e-05,-9.163440057060016e-06
0.0028998,1.98e-06,1.1132111332010935e-05,-9.152111332010935e-06
0.0029,1.92e-06,1.106223387667591e-05,-9.14223387667591e-06
0.0029002,1.86e-06,1.0994614126083295e-05,-9.134614126083294e-06
0.0029004,1.86e-06,1.0930069070619028e-05,-9.070069070619029e-06
0.0029006,1.68e-06,1.0869429648034471e-05,-9.189429648034472e-06
0.0029008,1.68e-06,1.0813543629658303e-05,-9.133543629658303e-06
0.002901,1.56e-06,1.0763277600504538e-05,-9.203277600504537e-06
0.0029012,1.68e-06,1.071951741022501e-05,-9.039517410225009e-06
0.0029014,1.56e-06,1.0683166170130989e-05,-9.123166170130989e-06
0.0029016,1.44e-06,1.0655138483997277e-05,-9.215138483997277e-06
0.0029018,1.38e-06,1.0636349137802932e-05,-9.256349137802932e-06
0.002902,1.32e-06,1.0627693982734338e-05,-9.307693982734337e-06
0.0029022,1.26e-06,1.0630020337611118e-05,-9.370020337611119e-06
