Parameter,Initial_Value,Fitted_Value,Standard_Error
I_c,1.0041356405988213e-06,1.004135640456432e-06,0.0
f,49699500.00000001,49655719.894205876,0.0
d,0.0,-0.014612283662998493,0.0
phi_0,-1.568244663606529,-1.568244663642159,0.0
T,0.5,0.4999999999982591,0.0
r,0.03481103053201284,0.034811384632582876,0.0
C,1.180550077935675e-19,1.0739693029749968e-13,0.0
