Phi_ext,I_s
-3e-05,0.000507694378664646
-2.998e-05,0.000507760780517593
-2.996e-05,0.0005077819508895743
-2.994e-05,0.0005076761282395756
-2.992e-05,0.0005079213568931415
-2.9900000000000002e-05,0.0005079179299689124
-2.9880000000000002e-05,0.0005079813769435088
-2.9860000000000002e-05,0.0005078767451683831
-2.9840000000000002e-05,0.000508122150647162
-2.9820000000000002e-05,0.0005079935045748625
-2.98e-05,0.0005080827927144433
-2.978e-05,0.0005082741245294362
-2.976e-05,0.0005080725668107758
-2.974e-05,0.0005082232473791522
-2.972e-05,0.000508280846483924
-2.97e-05,0.0005083825022226506
-2.968e-05,0.0005083070621231096
-2.966e-05,0.0005081879162419048
-2.964e-05,0.0005083066906693833
-2.962e-05,0.0005084592275940292
-2.96e-05,0.0005084003652664971
-2.958e-05,0.000508427472123787
-2.956e-05,0.0005086066014847581
-2.9540000000000002e-05,0.0005085218989096893
-2.9520000000000002e-05,0.000508651379082406
-2.9500000000000002e-05,0.0005088073838292569
-2.9480000000000002e-05,0.0005087540235855025
-2.946e-05,0.0005086906459150367
-2.944e-05,0.0005089406228852752
-2.942e-05,0.0005088017891356934
-2.94e-05,0.0005087867691301601
-2.938e-05,0.0005088842124003343
-2.936e-05,0.0005090153358912822
-2.934e-05,0.0005089354174103483
-2.932e-05,0.0005091133078188668
-2.93e-05,0.0005090723699488163
-2.928e-05,0.000509059501962183
-2.926e-05,0.0005088972257818554
-2.924e-05,0.000509186915279742
-2.922e-05,0.0005091151718478648
-2.92e-05,0.0005092009091631605
-2.9180000000000002e-05,0.00050919395466987
-2.9160000000000002e-05,0.0005093923734884303
-2.9140000000000002e-05,0.0005092368339532381
-2.9120000000000002e-05,0.0005093847510107575
-2.9100000000000003e-05,0.0005093373542966295
-2.908e-05,0.0005094048995019232
-2.906e-05,0.0005095501407752077
-2.904e-05,0.0005096120058918191
-2.902e-05,0.0005095715851938132
-2.9e-05,0.0005093931455501102
-2.898e-05,0.0005094520911136344
-2.896e-05,0.000509635296321622
-2.894e-05,0.0005095244103786295
-2.892e-05,0.0005098189940798991
-2.89e-05,0.0005098552990041425
-2.888e-05,0.0005097167453297654
-2.886e-05,0.0005099712498975847
-2.8840000000000002e-05,0.0005098399367850271
-2.8820000000000002e-05,0.0005095101140678738
-2.8800000000000002e-05,0.0005098337196345489
-2.8780000000000002e-05,0.0005097962003433175
-2.8760000000000002e-05,0.0005098023685243374
-2.874e-05,0.000510041259338994
-2.872e-05,0.0005099298630346809
-2.87e-05,0.0005098767657584876
-2.868e-05,0.0005100790974708677
-2.866e-05,0.0005098436986701774
-2.864e-05,0.0005099094662480695
-2.862e-05,0.0005097419698045768
-2.86e-05,0.0005098932864636005
-2.858e-05,0.0005097619510930943
-2.856e-05,0.0005098530203069078
-2.854e-05,0.0005100908882738369
-2.852e-05,0.0005100179946550147
-2.85e-05,0.0005098288847578337
-2.8480000000000002e-05,0.000510053961550165
-2.8460000000000002e-05,0.0005099285684550318
-2.8440000000000002e-05,0.0005099553515089026
-2.8420000000000002e-05,0.0005098965983119623
-2.8400000000000003e-05,0.0005098211284498984
-2.8380000000000003e-05,0.0005098762823854516
-2.836e-05,0.000509908161795909
-2.834e-05,0.0005098875765830708
-2.832e-05,0.0005099524352035892
-2.83e-05,0.0005096753134232396
-2.828e-05,0.0005095656071165121
-2.826e-05,0.0005094839760396075
-2.824e-05,0.0005095571459237798
-2.822e-05,0.0005094563121672747
-2.82e-05,0.0005096654832589046
-2.818e-05,0.0005096086812709621
-2.816e-05,0.0005094533462157715
-2.814e-05,0.0005095623070252801
-2.8120000000000002e-05,0.0005093229606093307
-2.8100000000000002e-05,0.0005094146855719005
-2.8080000000000002e-05,0.0005092249310182118
-2.8060000000000002e-05,0.0005092275715012468
-2.8040000000000003e-05,0.0005090338046950988
-2.802e-05,0.0005088039413073962
-2.8e-05,0.0005091529353828461
-2.798e-05,0.0005089202354317552
-2.796e-05,0.0005087911247312958
-2.794e-05,0.0005087895111639153
-2.792e-05,0.000508678315573108
-2.79e-05,0.000508363618996367
-2.788e-05,0.000508581734991823
-2.786e-05,0.0005084527581448882
-2.784e-05,0.0005084237235153556
-2.782e-05,0.0005082515353311706
-2.78e-05,0.000508175990788254
-2.778e-05,0.0005079155648576584
-2.7760000000000002e-05,0.0005081077128732542
-2.7740000000000002e-05,0.0005080772212816698
-2.7720000000000002e-05,0.0005079427567576166
-2.7700000000000002e-05,0.000507757504409964
-2.768e-05,0.0005077195737609642
-2.7660000000000003e-05,0.0005078124706984584
-2.764e-05,0.0005075373975170449
-2.762e-05,0.0005075139288830718
-2.76e-05,0.0005076286120827278
-2.758e-05,0.0005076527846792653
-2.756e-05,0.0005074993083659751
-2.754e-05,0.0005074353070377521
-2.752e-05,0.0005074716666630595
-2.75e-05,0.0005073719034261022
-2.748e-05,0.0005071823272297456
-2.746e-05,0.0005073803169783616
-2.744e-05,0.0005073780162807601
