Phi_ext,I_s_measured,I_s_josephson_fit,residuals
-0.0024994,5.7e-07,3.184443972034584e-07,2.515556027965416e-07
-0.0024992,6.7e-07,4.515030548855408e-07,2.1849694511445923e-07
-0.002499,7.4e-07,5.951572048218944e-07,1.448427951781056e-07
-0.0024988,9e-07,7.434819181492071e-07,1.5651808185079288e-07
-0.0024986,1e-06,8.9007318386086e-07,1.0992681613913995e-07
-0.0024984,1.06e-06,1.0287068613733639e-06,3.129313862663615e-08
-0.0024982,1.08e-06,1.1539534421456433e-06,-7.395344214564323e-08
-0.002498,1.1e-06,1.2616077387945783e-06,-1.616077387945783e-07
-0.0024978,1.16e-06,1.3488678580391757e-06,-1.8886785803917579e-07
-0.0024976,1.19e-06,1.4142840521729458e-06,-2.2428405217294579e-07
-0.0024974,1.23e-06,1.4575536251454885e-06,-2.2755362514548846e-07
-0.0024972,1.31e-06,1.4792499359543534e-06,-1.692499359543535e-07
-0.002497,1.32e-06,1.4805543626568085e-06,-1.6055436265680844e-07
-0.0024968,1.25e-06,1.4630303918057698e-06,-2.1303039180576967e-07
-0.0024966,1.2e-06,1.4284533994859458e-06,-2.2845339948594583e-07
-0.0024964,1.17e-06,1.3786936017294457e-06,-2.086936017294457e-07
-0.0024962,1.06e-06,1.3156423138720778e-06,-2.556423138720778e-07
-0.002496,1.03e-06,1.2411700728558956e-06,-2.111700728558955e-07
-0.0024958,1.05e-06,1.157106490601378e-06,-1.0710649060137818e-07
-0.0024956,9.1e-07,1.0652340138537571e-06,-1.5523401385375716e-07
-0.0024954,9.3e-07,9.672900637791686e-07,-3.7290063779168564e-08
-0.0024952,8.4e-07,8.649739141960424e-07,-2.497391419604239e-08
-0.002495,8.9e-07,7.59956059824832e-07,1.3004394017516797e-07
-0.0024948,6.6e-07,6.538887787564002e-07,6.111221243599875e-09
-0.0024946,6.6e-07,5.484171981735483e-07,1.1158280182645173e-07
-0.0024944,5.9e-07,4.451905091937044e-07,1.4480949080629557e-07
-0.0024942,4.8e-07,3.45873100220825e-07,1.3412689977917494e-07
-0.002494,3.9e-07,2.5215530847515e-07,1.3784469152485003e-07
-0.0024938,3.4e-07,1.6576321551576793e-07,1.7423678448423204e-07
