Phi_ext,I_s_original,I_s_trend,I_s_detrended,I_s_ls_fit
-0.0025024,5.4e-07,7.871863367026869e-07,-2.471863367026869e-07,5.947020120411595e-07
-0.0025022,5.1e-07,7.866261066573745e-07,-2.766261066573745e-07,5.294250221194398e-07
-0.002502,4.2e-07,7.860658766120621e-07,-3.6606587661206205e-07,4.7011310145189503e-07
-0.0025018,3.4e-07,7.855056465667513e-07,-4.4550564656675134e-07,4.182283516872973e-07
-0.0025016,3.8e-07,7.849454165214389e-07,-4.0494541652143886e-07,3.7504804100480824e-07
-0.0025014,3.8e-07,7.843851864761264e-07,-4.043851864761264e-07,3.4163281786425013e-07
-0.0025012,3.5e-07,7.838249564308148e-07,-4.3382495643081486e-07,3.1880031558078704e-07
-0.002501,3.4e-07,7.832647263855033e-07,-4.432647263855033e-07,3.071048046032659e-07
-0.0025008,3.5e-07,7.827044963401908e-07,-4.3270449634019083e-07,3.0682339887612555e-07
-0.0025006,3.4e-07,7.821442662948792e-07,-4.4214426629487925e-07,3.179491595422589e-07
-0.0025004,3.5e-07,7.815840362495668e-07,-4.315840362495668e-07,3.4019126762938e-07
-0.0025002,3.6e-07,7.810238062042552e-07,-4.210238062042552e-07,3.7298226140445526e-07
-0.0025,3.4e-07,7.804635761589428e-07,-4.404635761589428e-07,4.1549215829472873e-07
-0.0024998,4.9e-07,7.799033461136312e-07,-2.899033461136312e-07,4.6664910993399645e-07
-0.0024996,4.3e-07,7.793431160683187e-07,-3.493431160683187e-07,5.251660763101322e-07
-0.0024994,5.7e-07,7.787828860230071e-07,-2.087828860230071e-07,5.895728552040538e-07
-0.0024992,6.7e-07,7.782226559776955e-07,-1.082226559776955e-07,6.582526697948435e-07
-0.002499,7.4e-07,7.776624259323831e-07,-3.76624259323831e-08,7.294824039982822e-07
-0.0024988,9e-07,7.771021958870707e-07,1.228978041129293e-07,8.014754841111596e-07
-0.0024986,1e-06,7.765419658417599e-07,2.2345803415824003e-07,8.724263397385238e-07
-0.0024984,1.06e-06,7.759817357964475e-07,2.840182642035525e-07,9.405553373698278e-07
-0.0024982,1.08e-06,7.75421505751135e-07,3.04578494248865e-07,1.004153068618974e-06
-0.002498,1.1e-06,7.748612757058226e-07,3.2513872429417744e-07,1.0616228907341221e-06
-0.0024978,1.16e-06,7.743010456605119e-07,3.8569895433948804e-07,1.1115206608524362e-06
-0.0024976,1.19e-06,7.737408156151994e-07,4.162591843848006e-07,1.1525906750954927e-06
-0.0024974,1.23e-06,7.73180585569887e-07,4.568194144301131e-07,1.1837969181926352e-06
-0.0024972,1.31e-06,7.726203555245762e-07,5.373796444754237e-07,1.2043488458746262e-06
-0.002497,1.32e-06,7.720601254792638e-07,5.479398745207363e-07,1.2137210584342722e-06
-0.0024968,1.25e-06,7.714998954339514e-07,4.785001045660487e-07,1.2116663759111092e-06
-0.0024966,1.2e-06,7.709396653886389e-07,4.29060334611361e-07,1.1982219894294904e-06
-0.0024964,1.17e-06,7.703794353433282e-07,3.9962056465667183e-07,1.173708535655534e-06
-0.0024962,1.06e-06,7.698192052980158e-07,2.9018079470198426e-07,1.138722117404236e-06
-0.002496,1.03e-06,7.692589752527033e-07,2.607410247472968e-07,1.0941194689442835e-06
-0.0024958,1.05e-06,7.686987452073909e-07,2.81301254792609e-07,1.0409966351966311e-06
-0.0024956,9.1e-07,7.681385151620801e-07,1.4186148483791984e-07,9.806616954453948e-07
-0.0024954,9.3e-07,7.675782851167677e-07,1.624217148832323e-07,9.146022103264621e-07
-0.0024952,8.4e-07,7.670180550714553e-07,7.298194492854475e-08,8.444482021850092e-07
-0.002495,8.9e-07,7.664578250261428e-07,1.2354217497385713e-07,7.71931590164483e-07
-0.0024948,6.6e-07,7.658975949808321e-07,-1.0589759498083204e-07,6.988430894463604e-07
-0.0024946,6.6e-07,7.653373649355196e-07,-1.053373649355196e-07,6.2698764732957e-07
-0.0024944,5.9e-07,7.647771348902072e-07,-1.7477713489020724e-07,5.581395250285913e-07
-0.0024942,4.8e-07,7.642169048448948e-07,-2.842169048448948e-07,4.939981432612209e-07
-0.002494,3.9e-07,7.63656674799584e-07,-3.73656674799584e-07,4.361457902218682e-07
-0.0024938,3.4e-07,7.630964447542716e-07,-4.230964447542716e-07,3.8600824459405405e-07
-0.0024936,3.5e-07,7.625362147089591e-07,-4.1253621470895916e-07,3.448192934187746e-07
-0.0024934,3.4e-07,7.619759846636475e-07,-4.219759846636476e-07,3.135900279433194e-07
-0.0024932,3.5e-07,7.61415754618336e-07,-4.11415754618336e-07,2.930836814771242e-07
-0.002493,3.3e-07,7.608555245730235e-07,-4.308555245730235e-07,2.837966354757119e-07
-0.0024928,3.4e-07,7.602952945277119e-07,-4.2029529452771196e-07,2.8594606653200934e-07
-0.0024926,3.4e-07,7.597350644824003e-07,-4.1973506448240036e-07,2.9946454169530697e-07
-0.0024924,3.4e-07,7.591748344370879e-07,-4.191748344370879e-07,3.2400169660957986e-07
-0.0024922,3.4e-07,7.586146043917755e-07,-4.186146043917755e-07,3.5893295473081846e-07
-0.002492,4.1e-07,7.580543743464639e-07,-3.480543743464639e-07,4.0337507060998147e-07
-0.0024918,4.7e-07,7.574941443011523e-07,-2.874941443011523e-07,4.562081104463919e-07
-0.0024916,3.6e-07,7.569339142558398e-07,-3.9693391425583985e-07,5.161033228951851e-07
-0.0024914,5.2e-07,7.563736842105283e-07,-2.3637368421052825e-07,5.815562065333124e-07
-0.0024912,5.2e-07,7.558134541652158e-07,-2.3581345416521582e-07,6.509239510631482e-07
-0.002491,9.4e-07,7.552532241199042e-07,1.8474677588009578e-07,7.224663204941099e-07
-0.0024908,8e-07,7.546929940745926e-07,4.530700592540733e-08,7.943889608384653e-07
-0.0024906,9.2e-07,7.541327640292802e-07,1.6586723597071979e-07,8.648880546605638e-07
-0.0024904,1e-06,7.535725339839678e-07,2.464274660160322e-07,9.321952110623338e-07
-0.0024902,1.09e-06,7.530123039386562e-07,3.369876960613438e-07,9.946214741088428e-07
-0.00249,1.19e-06,7.524520738933446e-07,4.3754792610665547e-07,1.0505993543290178e-06
-0.0024898,1.15e-06,7.518918438480321e-07,3.9810815615196787e-07,1.0987218375074994e-06
-0.0024896,1.23e-06,7.513316138027197e-07,4.786683861972804e-07,1.1377773997797447e-06
-0.0024894,1.27e-06,7.50771383757409e-07,5.19228616242591e-07,1.1667801577691238e-06
-0.0024892,1.3e-06,7.502111537120965e-07,5.497888462879035e-07,1.1849944033894535e-06
-0.002489,1.3e-06,7.496509236667841e-07,5.50349076333216e-07,1.191952912781191e-06
-0.0024888,1.29e-06,7.490906936214733e-07,5.409093063785266e-07,1.1874685736896596e-06
-0.0024886,1.29e-06,7.485304635761609e-07,5.41469536423839e-07,1.1716390419646975e-06
-0.0024884,1.22e-06,7.479702335308485e-07,4.720297664691515e-07,1.1448443112870793e-06
-0.0024882,1.19e-06,7.47410003485536e-07,4.42589996514464e-07,1.1077372565991753e-06
-0.002488,1.02e-06,7.468497734402253e-07,2.731502265597747e-07,1.061227386576041e-06
-0.0024878,1.02e-06,7.462895433949128e-07,2.7371045660508714e-07,1.0064582095007023e-06
-0.0024876,9.5e-07,7.457293133496004e-07,2.042706866503996e-07,9.447787757598638e-07
-0.0024874,9.3e-07,7.45169083304288e-07,1.8483091669571203e-07,8.777101052065356e-07
-0.0024872,8.3e-07,7.446088532589772e-07,8.539114674102278e-08,8.069073349001007e-07
-0.002487,6.9e-07,7.440486232136648e-07,-5.404862321366482e-08,7.341185291702946e-07
-0.0024868,6.5e-07,7.434883931683523e-07,-9.348839316835232e-08,6.611411770443532e-07
-0.0024866,6.6e-07,7.429281631230399e-07,-8.292816312303987e-08,5.897774597441596e-07
-0.0024864,6.9e-07,7.423679330777292e-07,-5.23679330777292e-08,5.217894013749767e-07
-0.0024862,6.3e-07,7.418077030324167e-07,-1.1180770303241672e-07,4.588550190112196e-07
-0.002486,4.4e-07,7.412474729871043e-07,-3.0124747298710426e-07,4.025265633018477e-07
-0.0024858,4.5e-07,7.406872429417918e-07,-2.9068724294179187e-07,3.5419188903336483e-07
-0.0024856,3.8e-07,7.401270128964811e-07,-3.601270128964811e-07,3.150399167754748e-07
-0.0024854,3.4e-07,7.395667828511687e-07,-3.995667828511687e-07,2.860310452798924e-07
-0.0024852,3.4e-07,7.390065528058562e-07,-3.9900655280585625e-07,2.678732508600569e-07
-0.002485,3e-07,7.384463227605446e-07,-4.3844632276054465e-07,2.610044686224117e-07
