Phi_ext,I_s_original,I_s_trend,I_s_detrended,I_s_ls_fit
-3e-05,0.0005066603511469,0.0005076549081532632,-9.945570063631635e-07,0.0005066651052114638
-2.998e-05,0.0005066895210369,0.0005076556043738738,-9.660833369738546e-07,0.00050670104539734
-2.996e-05,0.0005067895398667,0.0005076563005944844,-8.66760727784451e-07,0.0005067383502417785
-2.994e-05,0.0005067283450579,0.0005076569968150951,-9.286517571950635e-07,0.0005067769675483849
-2.992e-05,0.0005067381744859,0.0005076576930357058,-9.195185498057923e-07,0.0005068168432494679
-2.99e-05,0.0005069727063982,0.0005076583892563163,-6.856828581163496e-07,0.0005068579214831199
-2.988e-05,0.0005069502640152,0.000507659085476927,-7.088214617269632e-07,0.0005069001446728748
-2.986e-05,0.0005069271537653,0.0005076597816975377,-7.326279322377068e-07,0.0005069434536097876
-2.984e-05,0.0005070718095636,0.0005076604779181483,-5.886683545482888e-07,0.0005069877875368621
-2.982e-05,0.0005070328430114,0.0005076611741387589,-6.283311273589526e-07,0.0005070330842356772
-2.98e-05,0.0005072175999141,0.0005076618703593696,-4.442704452696381e-07,0.0005070792801150961
-2.978e-05,0.0005073401872149,0.0005076625665799802,-3.223793650801226e-07,0.000507126310301937
-2.976e-05,0.0005072092832029,0.0005076632628005909,-4.5397959769081023e-07,0.0005071741087334606
-2.974e-05,0.0005073380624527,0.0005076639590212015,-3.2589656850153664e-07,0.0005072226082515744
-2.972e-05,0.0005071970085509,0.0005076646552418121,-4.6764669091206405e-07,0.000507271740698578
-2.97e-05,0.0005073323904802,0.0005076653514624228,-3.3296098222274865e-07,0.0005073214370143447
-2.968e-05,0.0005073180608937,0.0005076660476830335,-3.479867893334482e-07,0.0005073716273347857
-2.966e-05,0.0005073031582731,0.000507666743903644,-3.6358563054402805e-07,0.0005074222410914637
-2.964e-05,0.0005073364841271,0.0005076674401242547,-3.309559971546947e-07,0.0005074732071122076
-2.962e-05,0.0005075115773394,0.0005076681363448654,-1.565590054653605e-07,0.0005075244537225903
-2.96e-05,0.0005075102186166,0.0005076688325654759,-1.5861394887589034e-07,0.0005075759088481209
-2.958e-05,0.0005075995666653,0.0005076695287860866,-6.996212078658019e-08,0.0005076275001170094
-2.956e-05,0.0005075732848309,0.0005076702250066973,-9.694017579734305e-08,0.0005076791549633527
-2.954e-05,0.0005075644979088,0.0005076709212273079,-1.0642331850789413e-07,0.0005077308007305994
-2.952e-05,0.0005075958713999,0.0005076716174479185,-7.574604801849003e-08,0.0005077823647751433
-2.95e-05,0.0005076961480717,0.0005076723136685292,2.3834403170726326e-08,0.0005078337745698975
-2.948e-05,0.0005078708114446,0.0005076730098891398,1.9780155546020133e-07,0.0005078849578077044
-2.946e-05,0.0005077869153595,0.0005076737061097505,1.132092497495166e-07,0.0005079358425044294
-2.944e-05,0.0005077216598608,0.0005076744023303611,4.725753043890394e-08,0.000507986357101597
-2.942e-05,0.0005078799297947,0.0005076750985509717,2.0483124372832305e-07,0.0005080364305684169
-2.94e-05,0.0005078872287606,0.0005076757947715824,2.1143398901764428e-07,0.0005080859925030611
-2.938e-05,0.00050789251874,0.0005076764909921931,2.1602774780691333e-07,0.0005081349732330411
-2.936e-05,0.0005080209916437,0.0005076771872128036,3.4380443089633214e-07,0.000508183303914547
-2.934e-05,0.0005080330714987,0.0005076778834334143,3.5518806528573536e-07,0.0005082309166306053
-2.932e-05,0.0005079800320161,0.000507678579654025,3.014523620749592e-07,0.0005082777444879134
-2.93e-05,0.0005078948615398,0.0005076792758746356,2.155856651643931e-07,0.0005083237217122186
-2.928e-05,0.0005080560185625,0.0005076799720952462,3.760464672537215e-07,0.0005083687837420904
-2.926e-05,0.0005082718169641,0.0005076806683158569,5.911486482431099e-07,0.0005084128673209839
-2.924e-05,0.0005082001885534,0.0005076813645364675,5.18824016932512e-07,0.0005084559105874225
-2.922e-05,0.0005081417323104,0.0005076820607570782,4.59671553321812e-07,0.0005084978531632024
-2.92e-05,0.000508179155733,0.0005076827569776887,4.96398755311326e-07,0.0005085386362394784
-2.918e-05,0.0005082900814274,0.0005076834531982994,6.066282291005776e-07,0.0005085782026606124
-2.916e-05,0.0005082599026713,0.0005076841494189101,5.75753252389879e-07,0.0005086164970056723
