Phi_ext,I_s_measured,I_s_josephson_fit,residuals
-3e-05,0.0005066603511469,0.0005078961348929862,-1.2357837460861892e-06
-2.998e-05,0.0005066895210369,0.0005078542129477704,-1.1646919108703998e-06
-2.996e-05,0.0005067895398667,0.0005078120269244931,-1.0224870577931226e-06
-2.994e-05,0.0005067283450579,0.000507769627933067,-1.0412828751669946e-06
-2.992e-05,0.0005067381744859,0.0005077270669743782,-9.888924884782473e-07
-2.99e-05,0.0005069727063982,0.0005076843949662105,-7.116885680104714e-07
-2.988e-05,0.0005069502640152,0.0005076416627683431,-6.913987531430646e-07
-2.986e-05,0.0005069271537653,0.0005075989212124012,-6.717674471012512e-07
-2.984e-05,0.0005070718095636,0.000507556221122388,-4.844115587880572e-07
-2.982e-05,0.0005070328430114,0.0005075136133445759,-4.807703331759054e-07
-2.98e-05,0.0005072175999141,0.0005074711487717694,-2.5354885766946337e-07
-2.978e-05,0.0005073401872149,0.000507428878373085,-8.869115818491407e-08
-2.976e-05,0.0005072092832029,0.0005073868532143429,-1.7757001144285377e-07
-2.974e-05,0.0005073380624527,0.000507345124487618,-7.062034918002905e-09
-2.972e-05,0.0005071970085509,0.0005073037435350385,-1.067349841384806e-07
-2.97e-05,0.0005073323904802,0.0005072627618777747,6.96286024253227e-08
-2.968e-05,0.0005073180608937,0.0005072222312356338,9.582965806618441e-08
-2.966e-05,0.0005073031582731,0.0005071822035552814,1.209547178186287e-07
-2.964e-05,0.0005073364841271,0.0005071427310333628,1.9375309373722248e-07
-2.962e-05,0.0005075115773394,0.0005071038661398291,4.0771119957092646e-07
-2.96e-05,0.0005075102186166,0.0005070656616395563,4.4455697704374846e-07
-2.958e-05,0.0005075995666653,0.0005070281706170468,5.713960482532122e-07
-2.956e-05,0.0005075732848309,0.0005069914464914437,5.818383394562724e-07
-2.954e-05,0.0005075644979088,0.0005069555430383285,6.089548704714615e-07
-2.952e-05,0.0005075958713999,0.0005069205144046064,6.75356995293681e-07
-2.95e-05,0.0005076961480717,0.0005068864151257295,8.097329459704622e-07
-2.948e-05,0.0005078708114446,0.00050685330013248,1.0175113121199978e-06
-2.946e-05,0.0005077869153595,0.0005068212247621888,9.656905973112317e-07
-2.944e-05,0.0005077216598608,0.0005067902447615572,9.314150992428697e-07
-2.942e-05,0.0005078799297947,0.000506760416289121,1.119513505579042e-06
-2.94e-05,0.0005078872287606,0.0005067317959056619,1.1554328549381702e-06
-2.938e-05,0.00050789251874,0.0005067044405647872,1.1880781752127796e-06
-2.936e-05,0.0005080209916437,0.0005066784075960176,1.342584047682384e-06
-2.934e-05,0.0005080330714987,0.0005066537546750192,1.3793168236808174e-06
-2.932e-05,0.0005079800320161,0.0005066305397875041,1.3494922285958721e-06
-2.93e-05,0.0005078948615398,0.0005066088211875328,1.2860403522671829e-06
-2.928e-05,0.0005080560185625,0.0005065886573339408,1.4673612285591138e-06
-2.926e-05,0.0005082718169641,0.0005065701068209216,1.7017101431784226e-06
-2.924e-05,0.0005082001885534,0.0005065532282923984,1.6469602610015783e-06
-2.922e-05,0.0005081417323104,0.0005065380803360087,1.6036519743912276e-06
-2.92e-05,0.000508179155733,0.0005065247213625826,1.6544343704174777e-06
-2.918e-05,0.0005082900814274,0.000506513209462588,1.7768719648119779e-06
-2.916e-05,0.0005082599026713,0.0005065036022415353,1.7563004297646177e-06
-2.914e-05,0.0005084782323449,0.0005064959566279388,1.98227571696118e-06
-2.912e-05,0.0005083872663205,0.0005064903286569501,1.8969376635498154e-06
-2.9100000000000003e-05,0.0005085854928908,0.0005064867732234121,2.098719667387931e-06
-2.908e-05,0.0005085131996411,0.0005064853438043811,2.0278558367189167e-06
-2.906e-05,0.0005084233675547,0.0005064860921476417,1.9372754070583025e-06
-2.904e-05,0.0005085178093004,0.0005064890679263177,2.028741374082298e-06
-2.902e-05,0.0005086422281695,0.0005064943183566687,2.1479098128312796e-06
-2.9e-05,0.0005087973672501,0.0005065018877786874,2.295479471412583e-06
-2.898e-05,0.0005083273801296,0.000506511817199111,1.81556293048907e-06
-2.896e-05,0.000508425653104,0.0005065241437957081,1.9015093082918374e-06
-2.894e-05,0.0005086770311845,0.0005065389003868968,2.1381307976031617e-06
