Parameter,Initial_Value,Fitted_Value,Standard_Error
I_c,5.495087398365392e-07,5.495087398365391e-07,0.0
f,4894700.000000008,4894700.00008812,0.0
d,0.0,-1.161298257557064e-08,0.0
phi_0,-1.5947036445789542,-1.5947036445789546,0.0
T,0.5,0.5,0.0
r,0.0032959992365865737,0.0032959992365849677,0.0
C,1.705748502994012e-06,1.7057485029940095e-06,0.0
