y_field,appl_current,meas_voltage_K1,dV_dI
-0.0075,0.0,-1.340905e-06,-3.1465399999999994
-0.0075,2e-07,-1.970213e-06,-2.150055
-0.0075,4e-07,-2.200927e-06,-0.6394399999999996
-0.0075,6e-07,-2.225989e-06,-0.005959999999999077
-0.0075,8e-07,-2.203311e-06,0.36672999999999956
-0.0075,1e-06,-2.079297e-06,0.5803249999999993
-0.0075,1.2e-06,-1.971181e-06,0.6451775
-0.0075,1.4e-06,-1.821226e-06,7.817330000000001
-0.0075,1.6e-06,1.155751e-06,8.89234
-0.0075,1.8e-06,1.73571e-06,2.8131125000000017
-0.0075,2e-06,2.280996e-06,2.767627499999998
-0.0075,2.2e-06,2.842761e-06,2.7171174999999987
-0.0075,2.4e-06,3.367843e-06,2.512130000000001
-0.0075,2.6e-06,3.847613e-06,2.57672
-0.0075,2.8e-06,4.398531e-06,2.853527500000002
-0.0075,3e-06,4.989024e-06,2.713244999999997
-0.0075,3.2e-06,5.483829e-06,2.539732500000003
-0.0075,3.4e-06,6.004917e-06,2.4809124999999987
-0.0075,3.6e-06,6.476194e-06,2.4566250000000043
-0.0075,3.8e-06,6.987567e-06,2.6473849999999963
-0.0075,4e-06,7.535148e-06,2.516340000000003
-0.0075,4.2e-06,7.994103e-06,2.2006049999999995
-0.0075,4.4e-06,8.41539e-06,2.421312499999999
-0.0075,4.6e-06,8.962628e-06,2.3663300000000014
-0.0075,4.8e-06,9.361922e-06,2.229845000000001
-0.0075,5e-06,9.854566e-06,2.4094700000000024
-0.0075,5.2e-06,1.032571e-05,2.312460000000005
-0.0075,5.4e-06,1.077955e-05,2.2577749999999988
-0.0075,5.6e-06,1.122882e-05,2.257974999999991
-0.0075,5.8e-06,1.168274e-05,2.295075000000004
-0.0075,6e-06,1.214685e-05,2.145100000000003
-0.0075,6.2e-06,1.254078e-05,2.2553750000000043
-0.0075,6.4e-06,1.3049e-05,2.2784999999999975
-0.0075,6.6e-06,1.345218e-05,2.0772499999999994
-0.0075,6.8e-06,1.38799e-05,2.2150999999999996
-0.0075,7e-06,1.433822e-05,2.2588750000000033
-0.0075,7.2e-06,1.478345e-05,2.132274999999993
-0.0075,7.4e-06,1.519113e-05,2.0332250000000016
-0.0075,7.6e-06,1.559674e-05,2.1962000000000046
-0.0075,7.8e-06,1.606961e-05,2.210374999999999
-0.0075,8e-06,1.648089e-05,2.122125000000011
-0.0075,8.2e-06,1.691846e-05,2.096900000000005
-0.0075,8.4e-06,1.731965e-05,2.1161249999999825
-0.0075,8.6e-06,1.776491e-05,2.064824999999999
-0.0075,8.8e-06,1.814558e-05,2.0844999999999985
-0.0075,9e-06,1.859871e-05,2.098975000000003
-0.0075,9.2e-06,1.898517e-05,2.113925000000009
-0.0075,9.4e-06,1.944428e-05,2.1970250000000036
-0.0075,9.6e-06,1.986398e-05,2.047149999999995
-0.0075,9.8e-06,2.026314e-05,1.9644999999999797
-0.0075,1e-05,2.064978e-05,2.0020342857142754
-0.0075,1.05e-05,2.173684e-05,2.0693700000000064
-0.0075,1.1e-05,2.271915e-05,2.0324699999999964
-0.0075,1.15e-05,2.376931e-05,2.139849999999999
-0.0075,1.2e-05,2.4859e-05,2.1117799999999995
-0.0075,1.25e-05,2.588109e-05,2.098060000000004
-0.0075,1.3e-05,2.695706e-05,2.108150000000002
-0.0075,1.35e-05,2.798924e-05,2.02477
-0.0075,1.4e-05,2.898183e-05,2.0988500000000023
-0.0075,1.45e-05,3.008809e-05,2.156169999999996
-0.0075,1.5e-05,3.1138e-05,2.0627299999999984
-0.0075,1.55e-05,3.215082e-05,2.0329600000000063
-0.0075,1.6e-05,3.317096e-05,2.13082
-0.0075,1.65e-05,3.428164e-05,2.0763900000000035
-0.0075,1.7e-05,3.524735e-05,2.069970000000005
-0.0075,1.75e-05,3.635161e-05,2.093119999999992
-0.0075,1.8e-05,3.734047e-05,1.9844300000000032
-0.0075,1.85e-05,3.833604e-05,2.0482799999999983
-0.0075,1.9e-05,3.938875e-05,2.089899999999993
-0.0075,1.95e-05,4.042594e-05,2.0622999999999934
-0.0075,2e-05,4.145105e-05,2.0592900000000043
-0.0075,2.05e-05,4.248523e-05,2.036270000000009
-0.0075,2.1e-05,4.348732e-05,2.0812699999999964
-0.0075,2.15e-05,4.45665e-05,2.1059199999999976
-0.0075,2.2e-05,4.559324e-05,2.0669499999999985
-0.0075,2.25e-05,4.663345e-05,2.0265800000000027
-0.0075,2.3e-05,4.761982e-05,2.0684200000000033
-0.0075,2.35e-05,4.870187e-05,2.0433999999999912
-0.0075,2.4e-05,4.966322e-05,2.030760000000001
-0.0075,2.45e-05,5.073263e-05,2.068630000000006
-0.0075,2.5e-05,5.173185e-05,2.030610000000003
-0.0075,2.55e-05,5.276324e-05,1.983780000000003
-0.0075,2.6e-05,5.371563e-05,2.017309999999995
-0.0075,2.65e-05,5.478055e-05,2.0845900000000057
-0.0075,2.7e-05,5.580022e-05,2.0241299999999924
-0.0075,2.75e-05,5.680468e-05,2.07188
-0.0075,2.8e-05,5.78721e-05,2.0468799999999945
-0.0075,2.85e-05,5.885156e-05,2.032500000000006
-0.0075,2.9e-05,5.99046e-05,2.0387600000000035
-0.0075,2.95e-05,6.089032e-05,2.0212299999999956
-0.0075,3e-05,6.192583e-05,2.04354
-0.0075,3.05e-05,6.293386e-05,1.9873699999999843
-0.0075,3.1e-05,6.39132e-05,1.9973800000000068
-0.0075,3.15e-05,6.493124e-05,2.1065200000000104
-0.0075,3.2e-05,6.601972e-05,2.02552
-0.0075,3.25e-05,6.695676e-05,1.9805899999999923
-0.0075,3.3e-05,6.800031e-05,2.132599999999968
-0.0075,3.35e-05,6.908936e-05,2.064150000000012
-0.0075,3.4e-05,7.006446e-05,2.017710000000008
-0.0075,3.45e-05,7.110707e-05,2.01858
-0.0075,3.5e-05,7.208304e-05,2.0101299999999895
-0.0075,3.55e-05,7.31172e-05,1.9915900000000022
-0.0075,3.6e-05,7.407463e-05,2.017380000000017
-0.0075,3.65e-05,7.513458e-05,2.0423200000000037
-0.0075,3.7e-05,7.611695e-05,2.018900000000002
-0.0075,3.75e-05,7.715348e-05,2.043599999999998
-0.0075,3.8e-05,7.816055e-05,2.0143799999999885
-0.0075,3.85e-05,7.916786e-05,2.100459999999998
-0.0075,3.9e-05,8.026101e-05,2.0531800000000118
-0.0075,3.95e-05,8.122104e-05,1.9989900000000063
-0.0075,4e-05,8.226e-05,2.076908683544314
-0.0074,0.0,-4.05256e-06,-3.875898562814072
-0.0074,2e-07,-4.821706e-06,-2.811322500000001
-0.0074,4e-07,-5.177089e-06,-0.954502500000002
-0.0074,6e-07,-5.203507e-06,0.16591249999999924
-0.0074,8e-07,-5.110724e-06,0.7472425000000005
-0.0074,1e-06,-4.90461e-06,0.9304775000000003
-0.0074,1.2e-06,-4.738533e-06,1.2037075000000002
-0.0074,1.4e-06,-4.423127e-06,8.465110000000003
-0.0074,1.6e-06,-1.352489e-06,9.413729000000002
-0.0074,1.8e-06,-6.576354e-07,3.613286225000001
-0.0074,2e-06,9.282549e-08,3.320051249999999
-0.0074,2.2e-06,6.703851e-07,3.205841275
-0.0074,2.4e-06,1.375162e-06,3.182299750000001
-0.0074,2.6e-06,1.943305e-06,2.9734374999999997
-0.0074,2.8e-06,2.564537e-06,3.2654125
-0.0074,3e-06,3.24947e-06,3.215607499999998
-0.0074,3.2e-06,3.85078e-06,2.9194600000000026
-0.0074,3.4e-06,4.417254e-06,2.9362975000000002
-0.0074,3.6e-06,5.025299e-06,2.8788950000000035
-0.0074,3.8e-06,5.568812e-06,2.8837374999999987
-0.0074,4e-06,6.178794e-06,2.8710350000000044
-0.0074,4.2e-06,6.717226e-06,2.674427499999995
-0.0074,4.4e-06,7.248565e-06,2.6151624999999967
-0.0074,4.6e-06,7.763291e-06,2.631925000000006
-0.0074,4.8e-06,8.301335e-06,2.7233724999999964
-0.0074,5e-06,8.85264e-06,2.5704974999999983
-0.0074,5.2e-06,9.329534e-06,2.4073050000000045
-0.0074,5.4e-06,9.815562e-06,2.555190000000003
-0.0074,5.6e-06,1.035161e-05,2.5507949999999937
-0.0074,5.8e-06,1.083588e-05,2.6072250000000032
-0.0074,6e-06,1.13945e-05,2.403175000000001
-0.0074,6.2e-06,1.179715e-05,2.1943749999999973
-0.0074,6.4e-06,1.227225e-05,2.4173999999999936
-0.0074,6.6e-06,1.276411e-05,2.329975000000001
-0.0074,6.8e-06,1.320424e-05,2.2339250000000064
-0.0074,7e-06,1.365768e-05,2.5302000000000007
-0.0074,7.2e-06,1.421632e-05,2.404749999999993
-0.0074,7.4e-06,1.461958e-05,2.2214000000000027
-0.0074,7.6e-06,1.510488e-05,2.2224000000000004
-0.0074,7.8e-06,1.550854e-05,2.057325000000006
-0.0074,8e-06,1.592781e-05,2.2533750000000055
-0.0074,8.2e-06,1.640989e-05,2.2964249999999993
-0.0074,8.4e-06,1.684638e-05,2.3253999999999806
-0.0074,8.6e-06,1.734005e-05,2.244400000000006
-0.0074,8.8e-06,1.774414e-05,2.067425
-0.0074,9e-06,1.816702e-05,2.125399999999999
-0.0074,9.2e-06,1.85943e-05,2.187925000000007
-0.0074,9.4e-06,1.904219e-05,2.1529250000000033
