appl_current,meas_voltage_K1,dV_dI
-0.0002,1.536778e-06,-0.377722649999996
-0.000198,7.813327e-07,-0.2988792249999978
-0.000196,3.412611e-07,-0.17150646750000048
-0.000194,9.530683e-08,-0.1072427450000003
-0.000192,-8.770988e-08,-0.0694042075000002
-0.00019,-1.8231e-07,-0.037279805
-0.000188,-2.368291e-07,-0.0177123749999998
-0.000186,-2.531595e-07,-0.00029055000000000747
-0.000184,-2.379913e-07,0.00688007500000002
-0.000182,-2.256392e-07,0.017814975000000052
-0.00018,-1.667314e-07,0.02170760000000002
-0.000178,-1.388088e-07,0.009182124999999902
-0.000176,-1.300029e-07,0.008902750000000025
-0.000174,-1.031978e-07,0.011987055000000038
-0.000172,-8.205468e-08,0.021236232500000063
-0.00017,-1.825287e-08,0.029416329999999918
-0.000168,3.561064e-08,0.009375824999999725
-0.000166,1.925043e-08,0.007904450000000026
-0.000164,6.722844e-08,0.01808860250000005
-0.000162,9.160484e-08,0.018889490000000047
-0.00016,1.427864e-07,0.013562740000000115
-0.000158,1.458558e-07,0.0020338500000000037
-0.000156,1.509218e-07,0.009983000000000034
-0.000154,1.857878e-07,0.004682325000000015
-0.000152,1.696511e-07,0.02151932499999952
-0.00015,2.718651e-07,0.020081474999999488
-0.000148,2.49977e-07,0.0013149249999999946
-0.000146,2.771248e-07,0.0023914500000000033
-0.000144,2.595428e-07,-0.003862825000000014
-0.000142,2.616735e-07,0.01985424999999967
-0.00014,3.389598e-07,0.020059124999999664
-0.000138,3.4191e-07,-0.0022014750000000083
-0.000136,3.301539e-07,-0.002115800000000001
-0.000134,3.334468e-07,-0.00037249999999999783
-0.000132,3.286639e-07,0.012177024999999758
-0.00013,3.821549e-07,0.014579649999999778
-0.000128,3.869825e-07,-0.003646775000000005
-0.000126,3.675678e-07,-0.0020413000000000098
-0.000124,3.788173e-07,-0.0007002999999999732
-0.000122,3.647666e-07,0.012247800000000114
-0.00012,4.278085e-07,0.012691075000000107
-0.000118,4.155309e-07,-0.0034046499999999535
-0.000116,4.141899e-07,0.006302700000000022
-0.000114,4.407417e-07,0.0027006250000000676
-0.000112,4.249924e-07,0.009301325000000138
-0.00011,4.77947e-07,0.006045675000000125
-0.000108,4.491751e-07,-0.00863827499999996
-0.000106,4.433939e-07,0.002272249999999962
-0.000104,4.582641e-07,0.006008424999999984
-0.000102,4.674276e-07,0.01289110000000003
-0.0001,5.098285e-07,0.011874175000000028
-9.8e-05,5.149243e-07,-0.006511300000000053
-9.6e-05,4.837833e-07,-0.012169575000000044
-9.4e-05,4.66246e-07,0.0041384750000001
-9.2e-05,5.003372e-07,0.020860000000000087
-9e-05,5.49686e-07,0.0017954500000001428
-8.8e-05,5.07519e-07,-0.014959599999999934
-8.6e-05,4.898476e-07,0.0048424999999998886
-8.4e-05,5.26889e-07,0.006861449999999922
-8.2e-05,5.172934e-07,-0.00075989999999998
-8e-05,5.238494e-07,0.004633899999999969
-7.8e-05,5.35829e-07,2.979999999996874e-05
-7.6e-05,5.239686e-07,0.004633899999999913
-7.4e-05,5.543646e-07,0.005933924999999923
-7.2e-05,5.477043e-07,0.007006724999999908
-7e-05,5.823915e-07,0.006686374999999939
-6.8e-05,5.744498e-07,-0.009424250000000023
-6.6e-05,5.446945e-07,-0.0024100750000000948
-6.4e-05,5.648095e-07,0.007721924999999963
-6.2e-05,5.755822e-07,0.014449299999999998
-6e-05,6.226067e-07,0.011849250000000033
-5.8e-05,6.229792e-07,-0.009904799999999991
-5.6e-05,5.829875e-07,-0.007509600000000033
-5.4e-05,5.929408e-07,0.009170974999999998
-5.2e-05,6.196714e-07,0.006444249999999985
-5e-05,6.187178e-07,-0.0007300999999999835
-4.8e-05,6.16751e-07,0.0029576499999999784
-4.6e-05,6.305484e-07,0.002957650000000006
-4.4e-05,6.285816e-07,-0.00015644999999997466
-4.2e-05,6.299226e-07,0.0039634000000000336
-4e-05,6.444352e-07,0.004127300000000028
-3.8e-05,6.464318e-07,-0.0073270749999999885
-3.6e-05,6.151269e-07,0.002424974999999968
-3.4e-05,6.561317e-07,0.0005140499999999881
-3.2e-05,6.171831e-07,0.014493975000000076
-3e-05,7.141076e-07,0.02016342500000004
-2.8e-05,6.978368e-07,-0.011376150000000002
-2.6e-05,6.68603e-07,-0.008232249999999969
-2.4e-05,6.649078e-07,0.0017246749999999533
-2.2e-05,6.755017e-07,0.014427300000000004
-2e-05,7.22617e-07,-0.0027002749999999742
-1.8e-05,6.647006e-07,-0.010552950000000005
-1.6e-05,6.804052e-07,0.0003017250000000027
-1.4e-05,6.659075e-07,-0.0005475749999999946
-1.2e-05,6.782149e-07,0.009364674999999989
-1e-05,7.033662e-07,0.004510975
-8e-06,6.962588e-07,-0.00037249999999999783
-6.00000000000001e-06,7.018762e-07,-0.004537050000000015
-4.00000000000002e-06,6.781106e-07,-0.005136800000000025
-2.00000000000002e-06,6.81329e-07,0.015779124999999783
0.0,7.412271e-07,0.029949049999999724
