appl_current,meas_voltage_K1,dV_dI
-0.000135,-5.280914e-05,-0.19108888888888897
-0.0001323,-5.332508e-05,-0.016827777777777442
-0.0001296,-5.290001e-05,0.24983703703703775
-0.0001269,-5.197596e-05,0.3494148148148124
-0.0001242,-5.101317e-05,0.4348722222222232
-0.0001215,-4.962765e-05,0.4302555555555543
-0.0001188,-4.868979e-05,0.36745555555555676
-0.0001161,-4.764339e-05,0.40624259259259254
-0.0001134,-4.649608e-05,0.41960740740740654
-0.0001107,-4.537751e-05,0.4829370370370363
-0.000108,-4.388822e-05,0.44482222222222223
-0.0001053,-4.297547e-05,0.3759777777777771
-0.0001026,-4.185794e-05,0.40879814814814885
-9.99e-05,-4.076796e-05,0.41560740740740787
-9.72e-05,-3.961366e-05,0.4724314814814816
-9.45e-05,-3.821683e-05,0.4538481481481478
-9.18e-05,-3.716288e-05,0.37762037037036844
-8.91e-05,-3.617768e-05,0.39014444444444507
-8.64e-05,-3.50561e-05,0.4252055555555563
-8.37e-05,-3.388157e-05,0.46823518518518537
-8.1e-05,-3.252763e-05,0.42664444444444527
-7.83e-05,-3.157769e-05,0.3610444444444445
-7.56e-05,-3.057799e-05,0.381809259259259
-7.29e-05,-2.951592e-05,0.4126518518518516
-7.02e-05,-2.834967e-05,0.4566296296296306
-6.75e-05,-2.705012e-05,0.42337777777777763
-6.48e-05,-2.606343e-05,0.3652981481481481
-6.21e-05,-2.507751e-05,0.38829629629629636
-5.94e-05,-2.396663e-05,0.4156203703703705
-5.67e-05,-2.283316e-05,0.4484425925925919
-5.4e-05,-2.154504e-05,0.4232425925925938
-5.13e-05,-2.054765e-05,0.37062592592592614
-4.86e-05,-1.954366e-05,0.37910185185185075
-4.59e-05,-1.85005e-05,0.40378888888888964
-4.32e-05,-1.73632e-05,0.43339814814814837
-4.05e-05,-1.616015e-05,0.4097740740740732
-3.78e-05,-1.515042e-05,0.364231481481482
-3.51e-05,-1.41933e-05,0.36181666666666645
-3.24e-05,-1.319661e-05,0.3939351851851849
-2.97e-05,-1.206605e-05,0.43463703703703693
-2.7e-05,-1.084957e-05,0.40637499999999993
-2.43e-05,-9.871625e-06,0.3456931481481482
-2.16e-05,-8.982827e-06,0.3614788888888889
-1.89e-05,-7.919639e-06,0.40046740740740794
-1.62e-05,-6.820303e-06,0.4226020370370369
-1.35e-05,-5.637588e-06,0.38057018518518493
-1.08e-05,-4.765224e-06,0.335975185185186
-8.10000000000001e-06,-3.823322e-06,0.3564572222222223
-5.4e-06,-2.840355e-06,0.3865716666666668
-2.70000000000001e-06,-1.735835e-06,0.4255901851851851
0.0,-5.42168e-07,0.38844792592592603
2.69999999999998e-06,3.617838e-07,0.34596370370370355
5.4e-06,1.326036e-06,0.3623067037037017
8.10000000000001e-06,2.31824e-06,0.37408592592592604
1.08e-05,3.3461e-06,0.4190868518518526
1.35e-05,4.581309e-06,0.3927938888888888
1.62e-05,5.467187e-06,0.3360855555555554
1.89e-05,6.396171e-06,0.35157037037037053
2.16e-05,7.365667e-06,0.37955481481481446
2.43e-05,8.445767e-06,0.42342703703703677
2.7e-05,9.652173e-06,0.3795653703703705
2.97e-05,1.049542e-05,0.33272722222222195
3.24e-05,1.14489e-05,0.34161296296296273
3.51e-05,1.234013e-05,0.3546722222222227
3.78e-05,1.336413e-05,0.4184962962962966
4.05e-05,1.460001e-05,0.3922888888888876
4.32e-05,1.548249e-05,0.3375222222222223
4.59e-05,1.642263e-05,0.3462481481481481
4.86e-05,1.735223e-05,0.37296111111111063
5.13e-05,1.843662e-05,0.42880185185185216
5.4e-05,1.966776e-05,0.37295185185185264
5.67e-05,2.045056e-05,0.33073518518518474
5.94e-05,2.145373e-05,0.3553648148148145
6.21e-05,2.236953e-05,0.3721351851851842
6.48e-05,2.346326e-05,0.43010925925925925
6.75e-05,2.469212e-05,0.3885222222222229
7.02e-05,2.556128e-05,0.333592592592594
7.29e-05,2.649352e-05,0.3393388888888884
7.56e-05,2.739371e-05,0.35278333333333123
7.83e-05,2.839855e-05,0.41102407407407426
8.1e-05,2.961324e-05,0.38905370370370473
8.37e-05,3.049944e-05,0.33544074074074093
8.64e-05,3.142462e-05,0.33732592592592514
8.91e-05,3.2321e-05,0.3535925925925927
9.18e-05,3.333402e-05,0.41787962962962943
9.45e-05,3.457755e-05,0.36971851851851945
9.72e-05,3.53305e-05,0.31450740740740724
9.99e-05,3.627589e-05,0.3486592592592599
0.0001026,3.721326e-05,0.35565925925925956
0.0001053,3.819645e-05,0.4068499999999995
0.000108,3.941025e-05,0.3798296296296293
0.0001107,4.024753e-05,0.3206425925925913
0.0001134,4.114172e-05,0.34029629629629543
0.0001161,4.208513e-05,0.356148148148149
0.0001188,4.306492e-05,0.4119333333333346
0.0001215,4.430957e-05,0.36865555555555574
0.0001242,4.505566e-05,0.30547037037037406
0.0001269,4.595911e-05,0.3357518518518514
0.0001296,4.686872e-05,0.33587777777777994
0.0001323,4.777285e-05,92.64829259259173
0.000135,0.0005471695,184.96172222222143
