y_field,appl_current,meas_voltage_K1,dV_dI
-0.0075,0.0,3.316799e-07,-0.2581440000000002
-0.0075,2e-07,2.800511e-07,-0.22748725000000014
-0.0075,4e-07,2.40685e-07,-0.17433125000000005
-0.0075,6e-07,2.103186e-07,0.12795450000000008
-0.0075,8e-07,2.918668e-07,0.2722247500000001
-0.0075,1e-06,3.192085e-07,0.12970525
-0.0075,1.2e-06,3.437489e-07,6.0707812500000005
-0.0075,1.4e-06,2.747521e-06,7.100527750000002
-0.0075,1.6e-06,3.18396e-06,2.2483500000000003
-0.0075,1.8e-06,3.646861e-06,2.2170200000000007
-0.0075,2e-06,4.070768e-06,2.1136149999999976
-0.0075,2.2e-06,4.492307e-06,1.9376074999999986
-0.0075,2.4e-06,4.845811e-06,2.0564350000000005
-0.0075,2.6e-06,5.314881e-06,2.1415549999999968
-0.0075,2.8e-06,5.702433e-06,2.07752
-0.0075,3e-06,6.145889e-06,2.2820974999999954
-0.0075,3.2e-06,6.615272e-06,2.2188475000000043
-0.0075,3.4e-06,7.033428e-06,2.061239999999998
-0.0075,3.6e-06,7.439768e-06,2.052412499999999
-0.0075,3.8e-06,7.854393e-06,2.0534199999999956
-0.0075,4e-06,8.261136e-06,2.218065000000003
-0.0075,4.2e-06,8.741619e-06,2.165242499999998
-0.0075,4.4e-06,9.127233e-06,1.9558975000000025
-0.0075,4.6e-06,9.523978e-06,2.072715000000006
-0.0075,4.8e-06,9.956319e-06,2.0838049999999946
-0.0075,5e-06,1.03575e-05,2.035202499999997
-0.0075,5.2e-06,1.07704e-05,2.1086250000000035
-0.0075,5.4e-06,1.120095e-05,2.1427000000000014
-0.0075,5.6e-06,1.162748e-05,2.1235249999999937
-0.0075,5.8e-06,1.205036e-05,2.1276249999999983
-0.0075,6e-06,1.247853e-05,2.1667000000000023
-0.0075,6.2e-06,1.291704e-05,2.0341250000000066
-0.0075,6.4e-06,1.329218e-05,2.1430000000000007
-0.0075,6.6e-06,1.377424e-05,2.1137250000000023
-0.0075,6.8e-06,1.413767e-05,2.065225000000005
-0.0075,7e-06,1.460033e-05,2.053725000000007
-0.0075,7.2e-06,1.495916e-05,2.0350499999999982
-0.0075,7.4e-06,1.541435e-05,2.206425000000003
-0.0075,7.6e-06,1.584173e-05,2.064725000000003
-0.0075,7.8e-06,1.624024e-05,1.9736499999999992
-0.0075,8e-06,1.663119e-05,2.118725000000005
-0.0075,8.2e-06,1.708773e-05,2.126624999999997
-0.0075,8.4e-06,1.748184e-05,2.0090499999999807
-0.0075,8.6e-06,1.789135e-05,2.0229500000000087
-0.0075,8.8e-06,1.829102e-05,2.1390250000000037
-0.0075,9e-06,1.874696e-05,2.065374999999996
-0.0075,9.2e-06,1.911717e-05,2.0748749999999987
-0.0075,9.4e-06,1.957691e-05,2.054725000000012
-0.0075,9.6e-06,1.993906e-05,1.900925000000008
-0.0075,9.8e-06,2.033728e-05,1.9569999999999794
-0.0075,1e-05,2.072186e-05,2.154433333333344
-0.0075,1.01e-05,2.094888e-05,2.4406000000000034
-0.0075,1.02e-05,2.120998e-05,1.9892999999999859
