y_field,appl_current,meas_voltage_K1,dV_dI
-0.0075,0.0,3.01025e-06,2.387599999999999
-0.0075,2e-07,3.48777e-06,1.7325499999999998
-0.0075,4e-07,3.70327e-06,0.9898150000000001
-0.0075,6e-07,3.883696e-06,0.6458099999999991
-0.0075,8e-07,3.961594e-06,0.05691750000000084
-0.0075,1e-06,3.906463e-06,-0.005699999999997374
-0.0075,1.2e-06,3.959314e-06,0.18740749999999906
-0.0075,1.4e-06,3.981426e-06,-0.10452500000000065
-0.0075,1.6e-06,3.917504e-06,-0.23653999999999975
-0.0075,1.8e-06,3.88681e-06,-0.13358000000000025
-0.0075,2e-06,3.864072e-06,9.624997499999983
-0.0075,2.2e-06,7.736809e-06,10.347542499999976
-0.0075,2.4e-06,8.003089e-06,1.662110000000002
-0.0075,2.6e-06,8.401653e-06,1.619792499999999
-0.0075,2.8e-06,8.651006e-06,1.504142500000004
-0.0075,3e-06,9.00331e-06,1.7758099999999963
-0.0075,3.2e-06,9.36133e-06,1.8171450000000036
-0.0075,3.4e-06,9.730168e-06,1.6956749999999943
-0.0075,3.6e-06,1.00396e-05,1.6496050000000047
-0.0075,3.8e-06,1.039001e-05,1.7201749999999976
-0.0075,4e-06,1.072767e-05,1.750200000000003
-0.0075,4.2e-06,1.109009e-05,1.6287749999999939
-0.0075,4.4e-06,1.137918e-05,1.596775000000001
-0.0075,4.6e-06,1.17288e-05,1.9220000000000041
-0.0075,4.8e-06,1.214798e-05,1.847974999999991
-0.0075,5e-06,1.246799e-05,1.5645999999999987
-0.0075,5.2e-06,1.277382e-05,1.6928500000000035
-0.0075,5.4e-06,1.314513e-05,1.8207500000000074
-0.0075,5.6e-06,1.350212e-05,1.796324999999996
-0.0075,5.8e-06,1.386366e-05,1.9511000000000038
-0.0075,6e-06,1.428256e-05,1.791649999999997
-0.0075,6.2e-06,1.458032e-05,1.6542750000000055
-0.0075,6.4e-06,1.494427e-05,1.9619
-0.0075,6.6e-06,1.536508e-05,1.861850000000004
-0.0075,6.8e-06,1.568901e-05,1.6985499999999973
-0.0075,7e-06,1.60445e-05,1.8567000000000036
-0.0075,7.2e-06,1.643169e-05,1.965574999999994
-0.0075,7.4e-06,1.683073e-05,1.89405
-0.0075,7.6e-06,1.718931e-05,1.9288999999999987
-0.0075,7.8e-06,1.760229e-05,1.8479000000000099
-0.0075,8e-06,1.792847e-05,1.8684000000000083
-0.0075,8.2e-06,1.834965e-05,2.044699999999999
-0.0075,8.4e-06,1.874635e-05,1.6687499999999957
-0.0075,8.6e-06,1.901715e-05,1.8053000000000097
-0.0075,8.8e-06,1.946847e-05,2.0655
-0.0075,9e-06,1.984335e-05,1.8801500000000004
-0.0075,9.2e-06,2.022053e-05,1.8360500000000002
-0.0075,9.4e-06,2.057777e-05,1.8421000000000092
-0.0075,9.6e-06,2.095737e-05,1.9077000000000055
-0.0075,9.8e-06,2.134085e-05,1.9827249999999736
-0.0075,1e-05,2.175046e-05,2.0303849206348836
-0.0075,9.1e-06,1.985157e-05,2.120944444444442
-0.0075,8.2e-06,1.793276e-05,2.1073222222222245
-0.0075,7.3e-06,1.605839e-05,2.1500055555555555
-0.0075,6.4e-06,1.406275e-05,2.1574944444444437
-0.0075,5.5e-06,1.21749e-05,2.124672222222223
-0.0075,4.6e-06,1.023834e-05,2.144437222222222
-0.0075,3.7e-06,8.314913e-06,2.1283588888888896
-0.0075,2.8e-06,6.407294e-06,2.136016111111111
-0.0075,1.9e-06,4.470084e-06,2.2517733333333325
-0.0075,1e-06,2.354102e-06,2.162960722222223
-0.0075,1.00000000000001e-07,5.767547e-07,1.1068562777777795
-0.0075,-7.99999999999999e-07,3.617607e-07,0.2641378888888887
-0.0075,-1.7e-06,1.013065e-07,2.8648059444444454
-0.0075,-2.6e-06,-4.79489e-06,3.7821080555555544
-0.0075,-3.5e-06,-6.706488e-06,2.096737777777778
-0.0075,-4.4e-06,-8.569018e-06,2.0816122222222226
-0.0075,-5.3e-06,-1.045339e-05,2.1090955555555553
-0.0075,-6.2e-06,-1.236539e-05,2.0717388888888886
-0.0075,-7.1e-06,-1.418252e-05,2.049711111111111
-0.0075,-8e-06,-1.605487e-05,2.0629888888888885
-0.0075,-8.9e-06,-1.78959e-05,2.0695722222222237
-0.0075,-9.8e-06,-1.97801e-05,2.058711111111112
-0.0075,-1.07e-05,-2.160158e-05,2.0737222222222194
-0.0075,-1.16e-05,-2.35128e-05,2.0690888888888885
-0.0075,-1.25e-05,-2.532594e-05,2.0455666666666676
-0.0075,-1.34e-05,-2.719482e-05,2.0581111111111117
-0.0075,-1.43e-05,-2.903054e-05,2.052194444444444
-0.0075,-1.52e-05,-3.088877e-05,2.0614777777777817
-0.0075,-1.61e-05,-3.27412e-05,2.0566666666666684
-0.0075,-1.7e-05,-3.459077e-05,2.0547833333333294
-0.0075,-1.79e-05,-3.643981e-05,2.0260333333333307
-0.0075,-1.88e-05,-3.823763e-05,2.0422944444444475
-0.0075,-1.97e-05,-4.011594e-05,2.0810444444444514
-0.0075,-2.06e-05,-4.198351e-05,2.0424666666666624
-0.0075,-2.15e-05,-4.379238e-05,2.047772222222221
-0.0075,-2.24e-05,-4.56695e-05,2.072094444444442
-0.0075,-2.33e-05,-4.752215e-05,2.0618000000000016
-0.0075,-2.42e-05,-4.938074e-05,2.048505555555554
-0.0075,-2.51e-05,-5.120946e-05,2.044427777777777
-0.0075,-2.6e-05,-5.306071e-05,2.057088888888888
-0.0075,-2.69e-05,-5.491222e-05,2.0606166666666645
-0.0075,-2.78e-05,-5.676982e-05,2.063716666666668
-0.0075,-2.87e-05,-5.862691e-05,2.036916666666663
-0.0075,-2.96e-05,-6.043627e-05,2.0527000000000015
-0.0075,-3.05e-05,-6.232177e-05,2.0255500000000097
-0.0075,-3.14e-05,-6.408226e-05,2.0104499999999987
-0.0075,-3.23e-05,-6.594058e-05,2.071083333333327
-0.0075,-3.32e-05,-6.781021e-05,2.041316666666667
-0.0075,-3.41e-05,-6.961495e-05,2.037727777777782
-0.0075,-3.5e-05,-7.147812e-05,2.0671405870874935
-0.0074,0.0,5.020878e-06,2.4884499185064897
-0.0074,2e-07,5.518914e-06,1.873875
-0.0074,4e-07,5.770428e-06,0.9468650000000007
-0.0074,6e-07,5.89766e-06,0.5447875
-0.0074,8e-07,5.988343e-06,0.17116499999999846
-0.0074,1e-06,5.966126e-06,-0.25527750000000005
-0.0074,1.2e-06,5.886232e-06,-0.31740749999999807
-0.0074,1.4e-06,5.839163e-06,6.7102325
-0.0074,1.6e-06,8.570325e-06,7.5160675
-0.0074,1.8e-06,8.84559e-06,1.2179724999999983
-0.0074,2e-06,9.057514e-06,1.2153274999999972
-0.0074,2.2e-06,9.331721e-06,1.34347
-0.0074,2.4e-06,9.594902e-06,1.2859550000000048
-0.0074,2.6e-06,9.846103e-06,1.3625450000000008
-0.0074,2.8e-06,1.013992e-05,1.213417500000002
-0.0074,3e-06,1.033147e-05,1.382324999999998
-0.0074,3.2e-06,1.069285e-05,1.379725000000004
-0.0074,3.4e-06,1.088336e-05,1.3423499999999962
-0.0074,3.6e-06,1.122979e-05,1.5340500000000006
-0.0074,3.8e-06,1.149698e-05,1.3114999999999952
-0.0074,4e-06,1.175439e-05,1.3945749999999997
-0.0074,4.2e-06,1.205481e-05,1.5500249999999944
-0.0074,4.4e-06,1.23744e-05,1.5221000000000018
-0.0074,4.6e-06,1.266365e-05,1.5333000000000077
-0.0074,4.8e-06,1.298772e-05,1.5714499999999916
-0.0074,5e-06,1.329223e-05,1.3575499999999963
-0.0074,5.2e-06,1.353074e-05,1.4911250000000038
-0.0074,5.4e-06,1.388868e-05,1.8503000000000043
-0.0074,5.6e-06,1.427086e-05,1.6761499999999998
-0.0074,5.8e-06,1.455914e-05,1.5367250000000041
-0.0074,6e-06,1.488555e-05,1.5947000000000031
-0.0074,6.2e-06,1.519702e-05,1.692300000000003
-0.0074,6.4e-06,1.556247e-05,1.7188249999999883
-0.0074,6.6e-06,1.588455e-05,1.629400000000004
-0.0074,6.8e-06,1.621423e-05,1.6358999999999995
-0.0074,7e-06,1.653891e-05,1.7637000000000072
-0.0074,7.2e-06,1.691971e-05,1.9041249999999863
-0.0074,7.4e-06,1.730056e-05,1.7296499999999995
-0.0074,7.6e-06,1.761157e-05,1.8370000000000033
-0.0074,7.8e-06,1.803536e-05,1.7675249999999991
-0.0074,8e-06,1.831858e-05,1.6526750000000092
-0.0074,8.2e-06,1.869643e-05,1.815650000000005
-0.0074,8.4e-06,1.904484e-05,1.8608749999999858
-0.0074,8.6e-06,1.944078e-05,1.9022999999999968
-0.0074,8.8e-06,1.980576e-05,1.8179999999999978
-0.0074,9e-06,2.016798e-05,1.6867750000000044
-0.0074,9.2e-06,2.048047e-05,1.758074999999998
-0.0074,9.4e-06,2.087121e-05,1.89405
-0.0074,9.6e-06,2.123809e-05,1.730525
-0.0074,9.8e-06,2.156342e-05,1.8353749999999849
-0.0074,1e-05,2.197224e-05,2.0147634920634845
-0.0074,9.1e-06,2.004014e-05,2.1307055555555543
-0.0074,8.2e-06,1.813697e-05,2.107683333333336
-0.0074,7.3e-06,1.624631e-05,2.138422222222223
-0.0074,6.4e-06,1.428781e-05,2.1667444444444417
-0.0074,5.5e-06,1.234617e-05,2.1582333333333334
-0.0074,4.6e-06,1.040299e-05,2.095585555555556
-0.0074,3.7e-06,8.574116e-06,2.117167777777779
-0.0074,2.8e-06,6.592088e-06,2.1482744444444446
-0.0074,1.9e-06,4.707222e-06,2.217816666666666
-0.0074,1e-06,2.600018e-06,2.182635500000001
-0.0074,1.00000000000001e-07,7.784781e-07,1.1373014444444463
-0.0074,-7.99999999999999e-07,5.528754e-07,0.26798694444444426
-0.0074,-1.7e-06,2.961016e-07,2.887527444444446
-0.0074,-2.6e-06,-4.644674e-06,3.773405888888888
-0.0074,-3.5e-06,-6.496029e-06,2.096007777777778
-0.0074,-4.4e-06,-8.417488e-06,2.092417222222223
-0.0074,-5.3e-06,-1.026238e-05,2.0487400000000004
-0.0074,-6.2e-06,-1.210522e-05,2.1149444444444443
-0.0074,-7.1e-06,-1.406928e-05,2.127638888888889
-0.0074,-8e-06,-1.593497e-05,2.0493611111111125
-0.0074,-8.9e-06,-1.775813e-05,2.0257111111111126
