y_field,appl_current,meas_voltage_K1,dV_dI
-0.0075,0.0,-4.902786e-07,-0.8625670000000003
-0.0075,2e-07,-6.62792e-07,-0.48008125000000024
-0.0075,4e-07,-6.823111e-07,0.03825600000000007
-0.0075,6e-07,-6.474896e-07,-0.02346775000000001
-0.0075,8e-07,-6.916982e-07,0.08609225000000009
-0.0075,1e-06,-6.130527e-07,0.30043025000000023
-0.0075,1.2e-06,-5.715261e-07,0.2957670000000001
-0.0075,1.4e-06,-4.947459e-07,0.39615625
-0.0075,1.6e-06,-4.130636e-07,0.37026749999999986
-0.0075,1.8e-06,-3.466389e-07,0.3607315000000001
-0.0075,2e-06,-2.68771e-07,10.196137249999984
-0.0075,2.2e-06,3.731816e-06,11.269502499999982
-0.0075,2.4e-06,4.23903e-06,2.113690000000002
-0.0075,2.6e-06,4.577292e-06,2.1665875000000003
-0.0075,2.8e-06,5.105665e-06,2.386027500000001
-0.0075,3e-06,5.531703e-06,2.204169999999996
-0.0075,3.2e-06,5.987333e-06,2.361852500000003
-0.0075,3.4e-06,6.476444e-06,2.1914324999999977
-0.0075,3.6e-06,6.863906e-06,2.1625249999999987
-0.0075,3.8e-06,7.341454e-06,2.302399999999995
-0.0075,4e-06,7.784866e-06,2.1108600000000024
-0.0075,4.2e-06,8.185798e-06,2.0735349999999997
-0.0075,4.4e-06,8.61428e-06,2.235612500000002
-0.0075,4.6e-06,9.080043e-06,2.1752300000000027
-0.0075,4.8e-06,9.484372e-06,2.10773
-0.0075,5e-06,9.923135e-06,2.2823199999999986
-0.0075,5.2e-06,1.03973e-05,2.088962500000001
-0.0075,5.4e-06,1.075872e-05,2.1283000000000065
-0.0075,5.6e-06,1.124862e-05,2.213249999999995
-0.0075,5.8e-06,1.164402e-05,2.2355250000000026
-0.0075,6e-06,1.214283e-05,2.202275
-0.0075,6.2e-06,1.252493e-05,2.062875000000002
-0.0075,6.4e-06,1.296798e-05,2.2305749999999946
-0.0075,6.6e-06,1.341716e-05,2.054700000000004
-0.0075,6.8e-06,1.378986e-05,1.9793749999999974
-0.0075,7e-06,1.420891e-05,2.020425000000003
-0.0075,7.2e-06,1.459803e-05,2.104149999999997
-0.0075,7.4e-06,1.505057e-05,2.2138500000000008
-0.0075,7.6e-06,1.548357e-05,2.0005749999999978
-0.0075,7.8e-06,1.58508e-05,1.992874999999998
-0.0075,8e-06,1.628072e-05,2.224499999999999
-0.0075,8.2e-06,1.67406e-05,2.1654000000000053
-0.0075,8.4e-06,1.714688e-05,1.937349999999988
-0.0075,8.6e-06,1.751554e-05,2.0807000000000073
-0.0075,8.8e-06,1.797916e-05,2.2130499999999955
-0.0075,9e-06,1.840076e-05,2.063075000000005
-0.0075,9.2e-06,1.880439e-05,2.071850000000005
-0.0075,9.4e-06,1.92295e-05,2.106349999999999
-0.0075,9.6e-06,1.964693e-05,2.0738000000000056
-0.0075,9.8e-06,2.005902e-05,2.054374999999993
-0.0075,1e-05,2.046868e-05,2.0575285714285627
-0.0075,1.05e-05,2.150898e-05,2.0984000000000016
-0.0075,1.1e-05,2.256708e-05,2.1019700000000014
-0.0075,1.15e-05,2.361095e-05,2.011959999999995
-0.0075,1.2e-05,2.457904e-05,2.0441399999999987
-0.0075,1.25e-05,2.565509e-05,2.04148
-0.0075,1.3e-05,2.662052e-05,2.056320000000003
-0.0075,1.35e-05,2.771141e-05,2.138270000000002
-0.0075,1.4e-05,2.875879e-05,2.0331499999999956
-0.0075,1.45e-05,2.974456e-05,2.013729999999999
-0.0075,1.5e-05,3.077252e-05,2.129629999999999
-0.0075,1.55e-05,3.187419e-05,2.1454900000000023
-0.0075,1.6e-05,3.291801e-05,2.0607999999999933
-0.0075,1.65e-05,3.393499e-05,2.022509999999997
-0.0075,1.7e-05,3.494052e-05,2.064140000000009
-0.0075,1.75e-05,3.599913e-05,2.12021
-0.0075,1.8e-05,3.706073e-05,2.0555299999999974
-0.0075,1.85e-05,3.805466e-05,2.0447399999999973
-0.0075,1.9e-05,3.910547e-05,2.1136400000000037
-0.0075,1.95e-05,4.01683e-05,2.0767600000000073
-0.0075,2e-05,4.118223e-05,2.0682199999999966
-0.0075,2.05e-05,4.223652e-05,2.035969999999999
-0.0075,2.1e-05,4.32182e-05,2.0384399999999943
-0.0075,2.15e-05,4.427496e-05,2.102010000000007
-0.0075,2.2e-05,4.532021e-05,2.0758599999999845
-0.0075,2.25e-05,4.635082e-05,2.06841
-0.0075,2.3e-05,4.738862e-05,2.0766200000000055
-0.0075,2.35e-05,4.842744e-05,2.0449799999999954
-0.0075,2.4e-05,4.94336e-05,2.049820000000004
-0.0075,2.45e-05,5.047726e-05,2.0711799999999982
-0.0075,2.5e-05,5.150478e-05,2.0539060114285475
-0.0074,0.0,-1.260356e-06,-1.427953471290321
-0.0074,2e-07,-1.540285e-06,-0.9217949999999999
-0.0074,4e-07,-1.629074e-06,-0.27624749999999976
-0.0074,6e-07,-1.650784e-06,-0.0751350000000004
-0.0074,8e-07,-1.659128e-06,-0.014712499999999906
-0.0074,1e-06,-1.656669e-06,0.25557500000000033
-0.0074,1.2e-06,-1.556898e-06,0.4059149999999998
-0.0074,1.4e-06,-1.494303e-06,0.4179850000000003
-0.0074,1.6e-06,-1.389704e-06,0.4771025
-0.0074,1.8e-06,-1.303462e-06,9.318035000000002
