y_field,appl_current,meas_voltage_K1,dV_dI
-0.01,0.0,8.05036e-07,0.08063920000000002
-0.01,5e-07,8.453556e-07,0.07082010000000005
-0.01,1e-06,8.758561e-07,0.0640852999999999
-0.01,1.5e-06,9.094409e-07,0.047128999999999865
-0.01,2e-06,9.229851e-07,0.032199100000000036
-0.01,2.5e-06,9.4164e-07,0.0690618999999999
-0.01,3e-06,9.92047e-07,0.05957100000000004
-0.01,3.5e-06,1.001211e-06,1.023353
-0.01,4e-06,2.0154e-06,1.1922000000000008
-0.01,4.5e-06,2.193411e-06,0.35179099999999996
-0.01,5e-06,2.367191e-06,0.3519700000000001
-0.01,5.5e-06,2.545381e-06,0.3138700000000001
-0.01,6e-06,2.681061e-06,0.3402140000000009
-0.01,6.5e-06,2.885595e-06,0.3507929999999999
-0.01,7e-06,3.031854e-06,0.3312139999999997
-0.01,7.5e-06,3.216809e-06,0.3355950000000001
-0.01,8e-06,3.367449e-06,0.35284899999999997
-0.01,8.5e-06,3.569658e-06,0.33337400000000006
-0.01,9e-06,3.700823e-06,0.31413899999999995
-0.01,9.5e-06,3.883797e-06,0.34968299999999974
-0.01,1e-05,4.050506e-06,0.3294929999999998
-0.01,1.05e-05,4.21329e-06,0.3135130000000004
-0.01,1.1e-05,4.364019e-06,0.33635399999999915
-0.01,1.15e-05,4.549644e-06,0.32969399999999904
-0.01,1.2e-05,4.693713e-06,0.3156440000000007
-0.01,1.25e-05,4.865288e-06,0.33757699999999957
-0.01,1.3e-05,5.03129e-06,0.30481099999999994
-0.01,1.35e-05,5.170099e-06,0.33324
-0.01,1.4e-05,5.36453e-06,0.3580490000000003
-0.01,1.45e-05,5.528148e-06,0.3157920000000001
-0.01,1.5e-05,5.680322e-06,0.3052879999999991
-0.01,1.55e-05,5.833436e-06,0.35875000000000057
-0.01,1.6e-05,6.039072e-06,0.3591659999999992
-0.01,1.65e-05,6.192602e-06,0.3071799999999998
-0.01,1.7e-05,6.346252e-06,0.3023379999999998
-0.01,1.75e-05,6.49494e-06,0.30431899999999956
-0.01,1.8e-05,6.650571e-06,0.3251790000000012
-0.01,1.85e-05,6.820119e-06,0.33602699999999874
-0.01,1.9e-05,6.986598e-06,0.35889900000000097
-0.01,1.95e-05,7.179018e-06,0.3425080000000005
-0.01,2e-05,7.329106e-06,0.29828399999999977
-0.01,2.05e-05,7.477302e-06,0.32416600000000173
-0.01,2.1e-05,7.653272e-06,0.3198609999999986
-0.01,2.15e-05,7.797163e-06,0.3419870000000005
-0.01,2.2e-05,7.995259e-06,0.3617889999999999
-0.01,2.25e-05,8.158952e-06,0.29882099999999934
-0.01,2.3e-05,8.29408e-06,0.30883400000000094
-0.01,2.35e-05,8.467786e-06,0.36691500000000055
-0.01,2.4e-05,8.660995e-06,0.3389319999999998
-0.01,2.45e-05,8.806718e-06,0.33546100000000045
-0.01,2.5e-05,8.996456e-06,0.34027299999999805
-0.01,2.55e-05,9.146991e-06,0.33023000000000025
-0.01,2.6e-05,9.326686e-06,0.3432530000000007
-0.01,2.65e-05,9.490244e-06,0.3055710000000005
-0.01,2.7e-05,9.632257e-06,0.3000879999999988
-0.01,2.75e-05,9.790332e-06,0.3375610000000009
-0.01,2.8e-05,9.969818e-06,0.34637799999999963
-0.01,2.85e-05,1.013671e-05,0.3302920000000018
-0.01,2.9e-05,1.030011e-05,0.3298500000000004
