appl_current,meas_voltage_K1,dV_dI
-0.0002,3.944162e-07,-0.07800527749999968
-0.000196,8.239509e-08,-0.06499756249999987
-0.000192,-1.255643e-07,-0.0337801862500001
-0.000188,-1.878464e-07,-0.009068524999999949
-0.000184,-1.981125e-07,0.007293562500000024
-0.00018,-1.294979e-07,0.006468475000000071
-0.000176,-1.463647e-07,-0.004831337500000005
-0.000172,-1.681486e-07,-0.0012069000000000246
-0.000168,-1.560199e-07,0.0012664999999999864
-0.000164,-1.580166e-07,0.014952152500000045
-0.00016,-3.640268e-08,0.013020751250000111
-0.000156,-5.385059e-08,-0.002467813749999986
-0.000152,-5.614519e-08,0.0029818637499999735
-0.000148,-2.999568e-08,0.009508067500000014
-0.000144,1.991935e-08,0.018551597499999947
-0.00014,1.184171e-07,0.011781406249999906
-0.000136,1.141706e-07,-0.0009573250000000019
-0.000132,1.107585e-07,0.004017412499999963
-0.000128,1.463099e-07,0.004246499999999964
-0.000124,1.447305e-07,0.01534887499999996
-0.00012,2.691009e-07,0.009612374999999996
-0.000116,2.216295e-07,-0.003812537499999994
-0.000112,2.386006e-07,0.0027676749999999972
-0.000108,2.437709e-07,0.004512837499999995
-0.000104,2.747033e-07,0.01997346250000006
-0.0001,4.035586e-07,0.00910205000000009
-9.6e-05,3.475197e-07,-0.009718524999999992
-9.2e-05,3.258104e-07,0.0021977499999999914
-8.8e-05,3.651017e-07,0.002227549999999995
-8.4e-05,3.436308e-07,0.01074291250000007
-8e-05,4.51045e-07,0.01408610000000006
-7.6e-05,4.563196e-07,-0.0026522125000000007
-7.2e-05,4.298273e-07,-0.005403124999999995
-6.8e-05,4.130946e-07,-0.004049074999999999
-6.4e-05,3.974347e-07,0.013618612500000037
-6e-05,5.220435e-07,0.012959287500000034
-5.6e-05,5.01109e-07,-0.005775612499999992
-5.2e-05,4.758386e-07,-0.0028496250000000015
-4.8e-05,4.78312e-07,0.0023262624999999953
-4.4e-05,4.944487e-07,0.009150462500000033
-4e-05,5.515157e-07,0.005390075000000001
-3.6e-05,5.375693e-07,-0.0043303125000000026
-3.2e-05,5.168732e-07,0.002469687499999998
-2.8e-05,5.573268e-07,-0.002488299999999992
-2.4e-05,4.969668e-07,0.008098149999999998
-2e-05,6.22112e-07,0.012633350000000015
-1.6e-05,5.980336e-07,-0.007697712500000009
-1.2e-05,5.605303e-07,0.0014397124999999816
-8e-06,6.095513e-07,0.004535187499999968
-4.00000000000002e-06,5.968118e-07,0.011290487499999988
-2.71050543121376e-20,6.998752e-07,0.009385150000000092
3.99999999999999e-06,6.71893e-07,-0.004656262499999966
7.99999999999998e-06,6.626251e-07,-0.00023281250000001252
1.2e-05,6.700305e-07,0.0002458499999999919
1.6e-05,6.645919e-07,0.006933987499999988
2e-05,7.255024e-07,0.006825974999999984
2.4e-05,7.191997e-07,-0.004145937500000002
2.8e-05,6.923349e-07,-0.003454950000000012
3.2e-05,6.915601e-07,0.001545875000000016
3.6e-05,7.047019e-07,0.006040099999999993
4e-05,7.398809e-07,0.0029055124999999987
4.4e-05,7.27946e-07,-0.005464587499999993
4.8e-05,6.961642e-07,-0.003970862499999991
5.2e-05,6.961791e-07,0.0014303999999999706
5.6e-05,7.076074e-07,0.012650112499999991
6e-05,7.9738e-07,0.006123912499999995
6.4e-05,7.565987e-07,-0.006462875000000007
6.8e-05,7.45677e-07,-0.004062112500000006
7.2e-05,7.241018e-07,0.0011156375000000024
7.6e-05,7.546021e-07,0.012838212499999987
8e-05,8.268075e-07,0.003287312499999945
8.4e-05,7.809006e-07,-0.006807437500000013
8.8e-05,7.72348e-07,-0.002819824999999998
9.2e-05,7.58342e-07,0.0007058875000000159
9.6e-05,7.779951e-07,0.008926962499999996
0.0001,8.297577e-07,0.00132796249999996
0.000104,7.886188e-07,-0.006673337500000001
0.000108,7.76371e-07,-0.0012404249999999895
0.000112,7.786954e-07,0.0029036374999999864
0.000116,7.996001e-07,0.013551562499999989
0.00012,8.871079e-07,0.008148450000000002
0.000124,8.647877e-07,-0.006135087500000025
0.000128,8.380272e-07,-0.004041637500000028
0.000132,8.324546e-07,0.0006015875000000143
0.000136,8.428399e-07,0.011076300000000025
0.00014,9.21065e-07,0.005161000000000082
0.000144,8.841279e-07,-0.004609687499999959
0.000148,8.841875e-07,-0.001983562499999994
0.000152,8.682594e-07,-0.0021586374999999908
0.000156,8.669184e-07,0.010720549999999926
0.00016,9.540238e-07,0.005205687499999903
0.000164,9.085639e-07,-0.010076125000000047
0.000168,8.734148e-07,-0.0057420875000000204
0.000172,8.626272e-07,-0.0002626124999999674
0.000176,8.713139e-07,0.01026862499999992
0.00018,9.447762e-07,0.008525324999999931
0.000184,9.395165e-07,-0.006205850000000013
0.000188,8.951294e-07,-0.0048592625000000444
0.000192,9.006424e-07,0.002508787499999998
0.000196,9.151997e-07,0.008716512499999968
0.0002,9.703745e-07,0.013793699999999966
