y_field,Ic
-0.0075,2.2e-06
-0.0074,2.4e-06
-0.0073,2.6e-06
-0.0072,2.8e-06
-0.0071,3e-06
-0.007,3.4e-06
-0.0069,3.6e-06
-0.0068,3.8e-06
-0.0067,3.8e-06
-0.0066,3.8e-06
-0.0065,4e-06
-0.0064,3.6e-06
-0.0063,3.8e-06
-0.0062,2.6e-06
-0.0061,3.6e-06
-0.006,3.2e-06
-0.0059,2.6e-06
-0.0058,2.8e-06
-0.0057,2.4e-06
-0.0056,2e-06
-0.0055,1.6e-06
-0.0054,1.2e-06
-0.0053,1e-06
-0.0052,8e-07
-0.0051,1e-06
-0.005,1.2e-06
-0.0049,1.4e-06
-0.0048,1.6e-06
-0.0047,2e-06
-0.0046,2.2e-06
-0.0045,2.4e-06
-0.0044,2.6e-06
-0.0043,3e-06
-0.0042,3.2e-06
-0.0041,3.6e-06
-0.004,4e-06
-0.0039,3.6e-06
-0.0038,4e-06
-0.0037,4e-06
-0.0036,3e-06
-0.0035,3.4e-06
-0.0034,3.2e-06
-0.0033,2.8e-06
-0.0032,2.4e-06
-0.0031,2e-06
-0.003,1.4e-06
-0.0029,1e-06
-0.0028,8e-07
-0.0027,3e-06
-0.0026,6e-07
-0.0025,6e-07
-0.0024,8e-07
-0.0023,1e-06
-0.0022,1e-06
-0.0021,1.4e-06
-0.002,1.8e-06
-0.0019,1.8e-06
-0.0018,2.2e-06
-0.0017,2e-06
-0.0016,2.2e-06
-0.0015,2.4e-06
-0.0014,2.2e-06
-0.0013,1.8e-06
-0.0012,1.4e-06
-0.0011,1.2e-06
-0.001,1.2e-06
-0.0009,8e-07
-0.0008,6e-07
-0.0007,8e-07
-0.0006,1e-06
-0.0005,1e-06
-0.0004,1.4e-06
-0.0003,1.8e-06
-0.0002,2e-06
-0.0001,2.2e-06
0.0,2.4e-06
9.99999999999994e-05,2.6e-06
0.0002,2.8e-06
0.0003,2.6e-06
0.0003999999999999,2.6e-06
0.0005,2.4e-06
0.0006,2.6e-06
0.0006999999999999,2.2e-06
0.0008,2e-06
0.0009,2e-06
0.0009999999999999,1.6e-06
0.0011,1.4e-06
0.0012,1e-06
0.0013,8e-07
0.0014,1e-06
0.0015,3e-06
0.0016,8e-07
0.0017,1e-06
0.0018,1.4e-06
0.0019,1.8e-06
0.002,1.8e-06
0.0021,2e-06
0.0022,2e-06
0.0023,2.4e-06
0.0024,2e-06
0.0025,2.2e-06
0.0026,2.4e-06
0.0027,2e-06
0.0028,1.8e-06
0.0029,1.6e-06
0.003,1.2e-06
0.0031,1.4e-06
0.0032,1e-06
0.0033,1.2e-06
0.0034,8e-07
0.0035,1e-06
0.0036,1.2e-06
0.0037,1e-06
0.0038,1e-06
0.0039,1.2e-06
0.004,1.8e-06
0.0041,2e-06
0.0042,2e-06
0.0043,1.4e-06
0.0044,2.6e-06
0.0045,2.8e-06
0.0046,3e-06
0.0047,2.6e-06
0.0048,2.8e-06
0.0049,2.4e-06
0.005,2.2e-06
0.0051,2.2e-06
0.0052,2e-06
0.0053,1.6e-06
0.0054,1.2e-06
0.0055,1e-06
0.0056,8e-07
0.0057,8e-07
0.0058,1e-06
0.0059,2e-06
0.006,1e-06
0.0061,8e-07
0.0062,1e-06
0.0063,1.2e-06
0.0064,1.4e-06
0.0065,1.8e-06
0.0066,2e-06
0.0067,2.2e-06
0.0068,2e-06
0.0069,2.6e-06
0.007,2.8e-06
0.0071,2.4e-06
0.0072,2.6e-06
0.0073,2.6e-06
0.0074,2.8e-06
0.0075,2e-06
