y_field,Ic
-0.01,9e-06
-0.0096,6e-06
-0.0092,3.5e-06
-0.0088,3.5e-06
-0.0084,6.5e-06
-0.008,1e-05
-0.0076,1.1e-05
-0.0072,7.5e-06
-0.0068,4.5e-06
-0.0064,5.5e-06
-0.006,1.4e-05
-0.0056,2.3e-05
-0.0052,2.3e-05
-0.0048,2.15e-05
-0.0044,1.45e-05
-0.004,7.5e-06
-0.0036,2.4e-05
-0.0032,5.6e-05
-0.0028,9.8e-05
-0.0024,0.000122
-0.002,0.000102
-0.0016,0.000106
-0.0012,0.000104
-0.0008,9.8e-05
-0.0003999999999999,5.8e-05
0.0,9e-05
0.0004,2.25e-05
0.0008,2.8e-05
0.0012,1e-05
0.0016,1.3e-05
0.002,1.25e-05
0.0024,1.25e-05
0.0028,1.9e-05
0.0032,1.05e-05
0.0036,6e-06
0.004,5.5e-06
0.0044,7e-06
0.0048,9.5e-06
0.0052,8e-06
0.0056,6e-06
0.006,4e-06
0.0064,3.5e-06
0.0068,4.5e-06
0.0072,4.5e-06
0.0076,4e-06
0.008,3.5e-06
0.0084,2.5e-06
0.0088,2.5e-06
0.0092,3e-06
0.0096,3e-06
0.01,3e-06
