y_field,Ic
0.000185,5.8e-06
0.0001852,5.8e-06
0.0001854,6.1e-06
0.0001856,5.9e-06
0.0001858,5.7e-06
0.000186,5.8e-06
0.0001862,5.2e-06
0.0001864,5.5e-06
0.0001866,4.9e-06
0.0001868,5.2e-06
0.000187,5e-06
0.0001872,4.8e-06
0.0001874,4.5e-06
0.0001876,4.3e-06
0.0001878,3.8e-06
0.000188,3.5e-06
0.0001882,3.3e-06
0.0001884,3.4e-06
0.0001886,3.6e-06
0.0001888,3.2e-06
0.000189,2.7e-06
0.0001892,2.7e-06
0.0001894,2.7e-06
0.0001896,2.9e-06
0.0001898,3.3e-06
0.00019,3.1e-06
0.0001902,3.7e-06
0.0001904,3.4e-06
0.0001906,3.6e-06
0.0001908,3.8e-06
0.000191,4.4e-06
0.0001912,4.9e-06
0.0001914,4.9e-06
0.0001916,4.5e-06
0.0001918,5.1e-06
0.000192,5.3e-06
0.0001922,5.5e-06
0.0001924,6.1e-06
0.0001926,6.2e-06
0.0001928,6.2e-06
0.000193,7e-06
0.0001932,6.8e-06
0.0001934,6.9e-06
0.0001936,7.1e-06
0.0001938,7.2e-06
0.000194,7.3e-06
0.0001942,7.4e-06
0.0001944,7.3e-06
0.0001946,7.4e-06
0.0001948,7.3e-06
0.000195,7.3e-06
0.0001952,6.9e-06
0.0001954,7e-06
0.0001956,6.7e-06
0.0001958,6.6e-06
0.000196,6.3e-06
0.0001962,5.4e-06
0.0001964,5.9e-06
0.0001966,4.8e-06
0.0001968,3.7e-06
0.000197,4e-06
0.0001972,3.1e-06
0.0001974,3.2e-06
0.0001976,2.8e-06
0.0001978,2.8e-06
0.000198,2.9e-06
0.0001982,3e-06
0.0001984,3.1e-06
0.0001986,3.1e-06
0.0001988,3.6e-06
0.000199,4e-06
0.0001992,3.9e-06
0.0001994,4.2e-06
0.0001996,4.5e-06
0.0001998,4e-06
0.0002,5.1e-06
0.0002002,5.2e-06
0.0002004,5.8e-06
0.0002006,5.8e-06
0.0002008,6e-06
0.000201,6.2e-06
0.0002012,5.9e-06
0.0002014,6.7e-06
0.0002016,7.1e-06
0.0002018,7.2e-06
0.000202,7.2e-06
0.0002022,7.2e-06
0.0002024,7.6e-06
0.0002026,7.7e-06
0.0002028,7.7e-06
0.000203,7.6e-06
0.0002032,7.5e-06
0.0002034,6.9e-06
0.0002036,7e-06
0.0002038,6.6e-06
0.000204,6.2e-06
0.0002042,6.2e-06
0.0002044,5.7e-06
0.0002046,5.6e-06
0.0002048,4.7e-06
0.000205,4.4e-06
0.0002052,3.8e-06
0.0002054,3e-06
0.0002056,3.1e-06
0.0002058,2.9e-06
0.000206,3e-06
0.0002062,2.8e-06
0.0002064,2.9e-06
0.0002066,2.9e-06
0.0002068,3.6e-06
0.000207,3.8e-06
0.0002072,4.1e-06
0.0002074,3.9e-06
0.0002076,4.4e-06
0.0002078,4.9e-06
0.000208,5e-06
0.0002082,5.3e-06
0.0002084,5.8e-06
0.0002086,5.5e-06
0.0002088,6.4e-06
0.000209,6.5e-06
0.0002092,7e-06
0.0002094,6.9e-06
0.0002096,7.2e-06
0.0002098,7.5e-06
0.00021,7.3e-06
0.0002102,7.7e-06
0.0002104,7.7e-06
0.0002106,7.7e-06
0.0002108,7.7e-06
0.000211,7.8e-06
0.0002112,7.8e-06
0.0002114,7.7e-06
0.0002116,7.7e-06
0.0002118,7.2e-06
0.000212,6.6e-06
0.0002122,6.3e-06
0.0002124,6.1e-06
0.0002126,6e-06
0.0002128,5.3e-06
0.000213,4.6e-06
0.0002132,5.5e-06
0.0002134,4.3e-06
0.0002136,3.2e-06
0.0002138,3.9e-06
0.000214,3.5e-06
0.0002142,2.9e-06
0.0002144,2.9e-06
0.0002146,3.4e-06
0.0002148,3.4e-06
0.000215,3.4e-06
