y_field,Ic
-0.001765,5e-06
-0.0017648,5.4e-06
-0.0017646,5.6e-06
-0.0017644,5.8e-06
-0.0017642,5.8e-06
-0.001764,5.8e-06
-0.0017638,5.8e-06
-0.0017636,5.8e-06
-0.0017634,5.6e-06
-0.0017632,5.2e-06
-0.001763,5e-06
-0.0017628,4.8e-06
-0.0017626,4.6e-06
-0.0017624,4.2e-06
-0.0017622,4.4e-06
-0.001762,4e-06
-0.0017618,3.4e-06
-0.0017616,3.8e-06
-0.0017614,3.4e-06
-0.0017612,3e-06
-0.001761,2.6e-06
-0.0017608,2.4e-06
-0.0017606,2.2e-06
-0.0017604,2.4e-06
-0.0017602,2.2e-06
-0.00176,2e-06
-0.0017598,2e-06
-0.0017596,2e-06
-0.0017594,2e-06
-0.0017592,2e-06
-0.001759,3.2e-06
-0.0017588,2.2e-06
-0.0017586,2.8e-06
-0.0017584,3.6e-06
-0.0017582,4.2e-06
-0.001758,4.4e-06
-0.0017578,5.2e-06
-0.0017576,5.2e-06
-0.0017574,5.2e-06
-0.0017572,5e-06
-0.001757,5.8e-06
-0.0017568,5.8e-06
-0.0017566,5.8e-06
-0.0017564,6e-06
-0.0017562,6e-06
-0.001756,5.6e-06
-0.0017558,5.6e-06
-0.0017556,5.4e-06
-0.0017554,4.8e-06
-0.0017552,5e-06
-0.001755,5e-06
-0.0017548,4.8e-06
-0.0017546,4.8e-06
-0.0017544,4.2e-06
-0.0017542,4.4e-06
-0.001754,4.2e-06
-0.0017538,3.6e-06
-0.0017536,3.2e-06
-0.0017534,3e-06
-0.0017532,2.4e-06
-0.001753,2.6e-06
-0.0017528,2.4e-06
-0.0017526,2e-06
-0.0017524,2e-06
-0.0017522,2e-06
-0.001752,2e-06
-0.0017518,2e-06
-0.0017516,2.2e-06
-0.0017514,2.6e-06
-0.0017512,2.4e-06
-0.001751,3e-06
-0.0017508,4e-06
-0.0017506,4e-06
-0.0017504,4.2e-06
-0.0017502,4.2e-06
-0.00175,5e-06
-0.0017498,5.4e-06
-0.0017496,5.6e-06
-0.0017494,6e-06
-0.0017492,6e-06
-0.001749,5.8e-06
-0.0017488,6e-06
-0.0017486,6e-06
-0.0017484,5.8e-06
-0.0017482,5.8e-06
-0.001748,5.4e-06
-0.0017478,5e-06
-0.0017476,5e-06
-0.0017474,5e-06
-0.0017472,4.8e-06
-0.001747,4.8e-06
-0.0017468,5e-06
-0.0017466,4e-06
-0.0017464,4e-06
-0.0017462,4e-06
-0.001746,3.2e-06
-0.0017458,3.4e-06
-0.0017456,3e-06
-0.0017454,3e-06
-0.0017452,2.6e-06
-0.001745,2.4e-06
-0.0017448,2.2e-06
-0.0017446,2.2e-06
-0.0017444,2e-06
-0.0017442,2e-06
-0.001744,2.2e-06
-0.0017438,2.4e-06
-0.0017436,3e-06
-0.0017434,3.4e-06
-0.0017432,3.6e-06
-0.001743,4e-06
-0.0017428,4.2e-06
-0.0017426,4.6e-06
-0.0017424,4.6e-06
-0.0017422,5e-06
-0.001742,4.8e-06
-0.0017418,5.6e-06
-0.0017416,5.8e-06
-0.0017414,5.6e-06
-0.0017412,5.8e-06
-0.001741,6e-06
-0.0017408,6e-06
-0.0017406,6e-06
-0.0017404,5.8e-06
-0.0017402,5.4e-06
-0.00174,5.4e-06
-0.0017398,5.2e-06
-0.0017396,5e-06
-0.0017394,4.6e-06
-0.0017392,4.2e-06
-0.001739,4.4e-06
-0.0017388,3.6e-06
-0.0017386,3.8e-06
-0.0017384,3.8e-06
-0.0017382,2.8e-06
-0.001738,3e-06
-0.0017378,3e-06
-0.0017376,2.4e-06
-0.0017374,2e-06
-0.0017372,2.2e-06
-0.001737,2e-06
-0.0017368,2e-06
-0.0017366,2e-06
-0.0017364,2.4e-06
-0.0017362,2e-06
-0.001736,2.8e-06
-0.0017358,2.4e-06
-0.0017356,3.2e-06
-0.0017354,3.2e-06
-0.0017352,4e-06
-0.001735,4.2e-06
