y_field,Ic
-0.01,2.5e-06
-0.00975,2.05e-05
-0.0095,2.1e-05
-0.00925,1.25e-05
-0.009,3.5e-06
-0.00875,1.7e-05
-0.0085,1.5e-06
-0.00825,2.6e-05
-0.008,2.45e-05
-0.00775,2.7e-05
-0.0075,1.2e-05
-0.00725,1.35e-05
-0.007,2.2e-05
-0.00675,2.55e-05
-0.0065,2.6e-05
-0.00625,8e-06
-0.006,1.75e-05
-0.00575,1.15e-05
-0.0055,7.5e-06
-0.00525,2.3e-05
-0.005,2e-05
-0.00475,1.85e-05
-0.0045,3e-05
-0.00425,7e-06
-0.004,1.3e-05
-0.00375,1.8e-05
-0.0035,4.5e-06
-0.00325,2.65e-05
-0.003,1.65e-05
-0.00275,1e-05
-0.0025,2.35e-05
-0.00225,7e-06
-0.002,1.05e-05
-0.00175,1.3e-05
-0.0015,1.95e-05
-0.00125,3e-05
-0.001,1.55e-05
-0.00075,1.05e-05
-0.0005,1.9e-05
-0.00025,1.05e-05
0.0,4e-06
0.00025,1.2e-05
0.0005,4.5e-06
0.00075,1.2e-05
