y_field,Ic
-0.02,2e-07
-0.0198,2e-07
-0.0196,2e-07
-0.0194,2e-07
-0.0192,2e-07
-0.019,2.5e-07
-0.0188,2.5e-07
-0.0186,2.5e-07
-0.0184,3e-07
-0.0182,3e-07
-0.018,3e-07
-0.0178,3.5e-07
-0.0176,3.5e-07
-0.0174,3.5e-07
-0.0172,3.5e-07
-0.017,3.5e-07
-0.0168,3.5e-07
-0.0166,2.5e-07
-0.0164,2.5e-07
-0.0162,3e-07
-0.016,2.5e-07
-0.0158,2.5e-07
-0.0156,2.5e-07
-0.0154,2.5e-07
-0.0152,2.5e-07
-0.015,3.5e-07
-0.0148,4e-07
-0.0146,4.5e-07
-0.0144,4.5e-07
-0.0142,5e-07
-0.014,5e-07
-0.0138,5e-07
-0.0136,5e-07
-0.0134,5e-07
-0.0132,5e-07
-0.013,4.5e-07
-0.0128,4.5e-07
-0.0126,4.5e-07
-0.0124,4.5e-07
-0.0122,5e-07
-0.012,5.5e-07
-0.0118,5.5e-07
-0.0116,7.5e-07
-0.0114,7e-07
-0.0112,8e-07
-0.011,1.05e-06
-0.0108,8e-07
-0.0106,1e-06
-0.0104,1.4e-06
-0.0102,1.45e-06
-0.01,1.2e-06
-0.0098,1.35e-06
-0.0096,1.35e-06
-0.0094,1.25e-06
-0.0092,1.1e-06
-0.009,1.05e-06
-0.0088,9.5e-07
-0.0086,7.5e-07
-0.0084,9.5e-07
-0.0082,1e-06
-0.008,8e-07
-0.0078,1.3e-06
-0.0076,1.8e-06
-0.0074,2.05e-06
-0.0072,2.35e-06
-0.007,2.7e-06
-0.0068,3e-06
-0.0066,3.1e-06
-0.0064,4e-06
-0.0062,3.2e-06
-0.006,4.05e-06
-0.0058,3.85e-06
-0.0056,4.1e-06
-0.0054,4.45e-06
-0.0052,2.55e-06
-0.005,4.3e-06
-0.0048,3.75e-06
-0.0046,4e-06
-0.0044,3.4e-06
-0.0042,3.95e-06
-0.004,3.35e-06
-0.0038,2e-06
-0.0036,1.85e-06
-0.0034,1.25e-06
-0.0032,8.5e-07
-0.003,4.5e-07
-0.0028,5e-07
-0.0026,7.5e-07
-0.0024,7.5e-07
-0.0022,5e-07
-0.002,1.65e-06
-0.0018,1.4e-06
-0.0016,3.05e-06
-0.0014,3.65e-06
-0.0012,4.3e-06
-0.001,3.6e-06
-0.0007999999999999,4.65e-06
-0.0006,4.1e-06
-0.0004,3.55e-06
-0.0001999999999999,3.3e-06
0.0,4.05e-06
0.0002,2.2e-06
0.0004,2.4e-06
0.0006,1.5e-06
0.0008,1.35e-06
0.001,1.15e-06
0.0012,8e-07
0.0014,8.5e-07
0.0016,7.5e-07
0.0018,8e-07
0.002,1.1e-06
0.0022,1.5e-06
0.0024,1.5e-06
0.0026,2.2e-06
0.0028,2.4e-06
0.003,2.85e-06
0.0032,2.75e-06
0.0034,3.6e-06
0.0036,5.9e-06
0.0038,3.75e-06
0.004,5.3e-06
0.0042,3.6e-06
0.0044,4.85e-06
0.0046,3.9e-06
0.0048,4.95e-06
0.005,3.65e-06
0.0052,4.05e-06
0.0054,1.5e-06
0.0056,3.5e-06
0.0058,2.85e-06
0.006,3e-06
0.0062,1e-06
0.0064,1.5e-06
0.0066,1.05e-06
0.0068,9.5e-07
0.007,1.05e-06
0.0072,1.1e-06
0.0074,8.5e-07
0.0076,7.5e-07
0.0078,7e-07
0.008,7.5e-07
0.0082,8.5e-07
0.0084,9e-07
0.0086,9e-07
0.0088,9e-07
0.009,9.5e-07
0.0092,9e-07
0.0094,8.5e-07
0.0096,7.5e-07
0.0098,7e-07
0.01,5.5e-07
0.0102,5e-07
0.0104,4e-07
0.0106,3.5e-07
0.0108,3e-07
0.011,2.5e-07
0.0112,2.5e-07
0.0114,3.5e-07
0.0116,4e-07
0.0118,4.5e-07
0.012,5e-07
0.0122,5.5e-07
0.0124,5.5e-07
0.0126,5.5e-07
0.0128,6e-07
0.013,5e-07
0.0132,5e-07
0.0134,5e-07
0.0136,4.5e-07
0.0138,4.5e-07
0.014,4e-07
0.0142,3.5e-07
0.0144,3e-07
0.0146,3e-07
0.0148,2.5e-07
0.015,2.5e-07
0.0152,2.5e-07
0.0154,3e-07
0.0156,3.5e-07
0.0158,3e-07
0.016,3.5e-07
0.0162,3.5e-07
0.0164,3.5e-07
0.0166,3.5e-07
0.0168,3e-07
0.017,3e-07
0.0172,3e-07
0.0174,2.5e-07
0.0176,2.5e-07
0.0178,2.5e-07
0.018,2e-07
0.0182,2e-07
0.0184,2e-07
0.0186,2e-07
0.0188,2e-07
0.019,2.5e-07
0.0192,2.5e-07
0.0194,2.5e-07
0.0196,2.5e-07
0.0198,2e-07
0.02,2e-07
