y_field,Ic
-0.0045,8e-06
-0.00442,6e-06
-0.00434,6e-06
-0.00426,6e-06
-0.00418,4e-06
-0.0041,4e-06
-0.00402,3e-06
-0.00394,3e-06
-0.00386,2e-06
-0.00378,3e-06
-0.0037,2e-06
-0.00362,4e-06
-0.00354,3e-06
-0.00346,5e-06
-0.00338,4e-06
-0.0033,4e-06
-0.00322,4e-06
-0.00314,4e-06
-0.00306,7e-06
-0.00298,6e-06
-0.0029,8e-06
-0.00282,1.2e-05
-0.00274,1.4e-05
-0.00266,1.4e-05
-0.00258,1.4e-05
-0.0025,1.65e-05
-0.00242,2.25e-05
-0.00234,2.25e-05
-0.00226,2.7e-05
-0.00218,3e-05
-0.0021,8e-06
-0.00202,3.2e-05
-0.00194,3.5e-05
-0.00186,2.45e-05
-0.00178,2.6e-05
-0.0017,3.6e-05
-0.00162,2.4e-05
-0.00154,2.5e-05
-0.00146,2.4e-05
-0.00138,2.1e-05
-0.0013,1.9e-05
-0.00122,5e-06
-0.00114,1.85e-05
-0.00106,7e-06
-0.00098,1.6e-05
-0.0009,1.3e-05
-0.00082,1.1e-05
-0.00074,9e-06
-0.00066,7e-06
-0.00058,3e-06
-0.0005,3e-06
