y_field,Ic
-0.01,4e-07
-0.0098,4e-07
-0.0096,8e-07
-0.0094,1e-06
-0.0092,1.4e-06
-0.009,1.2e-06
-0.0088,1.6e-06
-0.0086,1.4e-06
-0.0084,1.2e-06
-0.0082,1e-06
-0.008,6e-07
-0.0078,8e-07
-0.0076,6e-07
-0.0074,1.4e-06
-0.0072,1.8e-06
-0.007,2.4e-06
-0.0068,2.2e-06
-0.0066,2.8e-06
-0.0064,2.4e-06
-0.0062,2.2e-06
-0.006,1.4e-06
-0.0058,1.2e-06
-0.0056,1e-06
-0.0054,8e-07
-0.0052,1e-06
-0.005,1.4e-06
-0.0048,2.4e-06
-0.0046,2.6e-06
-0.0044,3e-06
-0.0042,4e-06
-0.004,3.2e-06
-0.0038,2.8e-06
-0.0036,2.6e-06
-0.0034,2.2e-06
-0.0032,2e-06
-0.003,1.2e-06
-0.0028,1.4e-06
-0.0026,1.2e-06
-0.0024,2.2e-06
-0.0022,2.8e-06
-0.002,2e-06
-0.0018,3.2e-06
-0.0016,2.8e-06
-0.0014,2.4e-06
-0.0012,2.2e-06
-0.0009999999999999,1.4e-06
-0.0008,1.2e-06
-0.0006,8e-07
-0.0003999999999999,1.6e-06
-0.0002,2e-06
0.0,2.6e-06
0.0002,3e-06
0.0004,3e-06
0.0006,3.6e-06
0.0008,3e-06
0.001,2.4e-06
0.0012,1.6e-06
0.0014,8e-07
0.0016,1e-06
0.0018,1.2e-06
0.002,2e-06
0.0022,2.8e-06
0.0024,3.4e-06
0.0026,3e-06
0.0028,2.8e-06
0.003,1.8e-06
0.0032,1e-06
0.0034,8e-07
0.0036,8e-07
0.0038,1e-06
0.004,1.8e-06
0.0042,2.4e-06
0.0044,3.8e-06
0.0046,3e-06
0.0048,4.6e-06
0.005,2e-06
0.0052,3.6e-06
0.0054,2.2e-06
0.0056,1.8e-06
0.0058,6e-07
0.006,6e-07
0.0062,1e-06
0.0064,1.8e-06
0.0066,2e-06
0.0068,2.4e-06
0.007,2.4e-06
0.0072,3e-06
0.0074,2.8e-06
0.0076,2.8e-06
0.0078,2.2e-06
0.008,1.6e-06
0.0082,8e-07
0.0084,6e-07
0.0086,6e-07
0.0088,1e-06
0.009,1.4e-06
0.0092,1.8e-06
0.0094,1.6e-06
0.0096,1.6e-06
0.0098,1e-06
0.01,8e-07
