y_field,Ic
0.001185,8e-07
0.0011852,8e-07
0.0011854,9e-07
0.0011856,8e-07
0.0011858,8e-07
0.001186,9.5e-07
0.0011862,1e-06
0.0011864,1.15e-06
0.0011866,1.35e-06
0.0011868,1.4e-06
0.001187,1.5e-06
0.0011872,1.5e-06
0.0011874,1.9e-06
0.0011876,1.95e-06
0.0011878,1.85e-06
0.001188,2.1e-06
0.0011882,2.15e-06
0.0011884,2.1e-06
0.0011886,2.15e-06
0.0011888,2.1e-06
0.001189,2.05e-06
0.0011892,2.15e-06
0.0011894,2.1e-06
0.0011896,1.8e-06
0.0011898,1.8e-06
0.00119,1.6e-06
0.0011902,1.4e-06
0.0011904,1.25e-06
0.0011906,1.4e-06
0.0011908,1.25e-06
0.001191,1.4e-06
0.0011912,1.1e-06
0.0011914,9.5e-07
0.0011916,9e-07
0.0011918,8.5e-07
0.001192,8e-07
0.0011922,8e-07
0.0011924,8e-07
0.0011926,8e-07
0.0011928,8e-07
0.001193,8e-07
0.0011932,8e-07
0.0011934,8e-07
0.0011936,8.5e-07
0.0011938,8e-07
0.001194,1.05e-06
0.0011942,1.1e-06
0.0011944,1.1e-06
0.0011946,1.3e-06
0.0011948,1.55e-06
0.001195,1.45e-06
0.0011952,1.35e-06
0.0011954,1.6e-06
0.0011956,2e-06
0.0011958,1.8e-06
0.001196,2e-06
0.0011962,2e-06
0.0011964,2e-06
0.0011966,2.2e-06
0.0011968,2.2e-06
0.001197,2.1e-06
0.0011972,2.2e-06
0.0011974,2.05e-06
0.0011976,2e-06
0.0011978,1.9e-06
0.001198,1.85e-06
0.0011982,1.5e-06
0.0011984,1.65e-06
0.0011986,1.35e-06
0.0011988,1.05e-06
0.001199,1e-06
0.0011992,9.5e-07
0.0011994,1.05e-06
0.0011996,9.5e-07
0.0011998,9.5e-07
0.0012,8e-07
0.0012002,8e-07
0.0012004,8e-07
0.0012006,8e-07
0.0012008,8e-07
0.001201,8e-07
0.0012012,8e-07
0.0012014,8e-07
0.0012016,8.5e-07
0.0012018,8.5e-07
0.001202,1.05e-06
0.0012022,9e-07
0.0012024,1.1e-06
0.0012026,1e-06
0.0012028,1.25e-06
0.001203,1.55e-06
0.0012032,1.5e-06
0.0012034,1.6e-06
0.0012036,1.85e-06
0.0012038,1.75e-06
0.001204,1.95e-06
0.0012042,2e-06
0.0012044,2.2e-06
0.0012046,2.25e-06
0.0012048,2.2e-06
0.001205,2.25e-06
0.0012052,2.05e-06
0.0012054,2e-06
0.0012056,2.1e-06
0.0012058,1.9e-06
0.001206,1.7e-06
0.0012062,1.5e-06
0.0012064,1.5e-06
0.0012066,1.3e-06
0.0012068,1.2e-06
0.001207,1e-06
0.0012072,1.1e-06
0.0012074,9e-07
0.0012076,9e-07
0.0012078,8e-07
0.001208,7.5e-07
0.0012082,8e-07
0.0012084,8e-07
0.0012086,8e-07
0.0012088,8e-07
0.001209,8e-07
0.0012092,8e-07
0.0012094,1e-06
0.0012096,8e-07
0.0012098,1.15e-06
0.00121,8.5e-07
0.0012102,1.1e-06
0.0012104,1.3e-06
0.0012106,1.5e-06
0.0012108,1.65e-06
0.001211,1.55e-06
0.0012112,1.75e-06
0.0012114,1.8e-06
0.0012116,1.9e-06
0.0012118,2.05e-06
0.001212,1.65e-06
0.0012122,1.85e-06
0.0012124,1.95e-06
0.0012126,2.2e-06
0.0012128,2.2e-06
0.001213,2.15e-06
0.0012132,2.1e-06
0.0012134,1.9e-06
0.0012136,1.9e-06
0.0012138,1.8e-06
0.001214,1.55e-06
0.0012142,1.55e-06
0.0012144,1.45e-06
0.0012146,1.5e-06
0.0012148,1.1e-06
0.001215,1.05e-06
