y_field,Ic
0.0,1.07e-05
2e-05,1.65e-05
4e-05,1.26e-05
6e-05,1.65e-05
8e-05,1.13e-05
0.0001,1.7e-05
0.00012,1.08e-05
0.00014,1.73e-05
0.00016,1.02e-05
0.00018,1.69e-05
0.0002,9.7e-06
0.00022,1.42e-05
0.00024,1.36e-05
0.00026,1.39e-05
0.00028,1.55e-05
0.0003,1.22e-05
0.00032,1.62e-05
0.00034,1.19e-05
0.00036,1.74e-05
0.00038,1.08e-05
0.0004,1.73e-05
0.00042,1.03e-05
0.00044,1.69e-05
0.00046,9.7e-06
0.00048,1.51e-05
0.0005,1.28e-05
0.00052,1.42e-05
0.00054,1.45e-05
0.00056,1.34e-05
0.00058,1.62e-05
0.0006,1.2e-05
0.00062,1.65e-05
0.00064,1.14e-05
0.00066,1.74e-05
0.00068,1.06e-05
0.0007,1.71e-05
0.00072,1.02e-05
0.00074,1.68e-05
0.00076,9.9e-06
0.00078,1.4e-05
0.0008,9.7e-06
0.00082,1.36e-05
0.00084,1.45e-05
0.00086,1.32e-05
0.00088,1.5e-05
0.0009,1.18e-05
0.00092,1.69e-05
0.00094,1.1e-05
0.00096,1.7e-05
0.00098,1.01e-05
0.001,1.7e-05
0.00102,1.02e-05
0.00104,1.64e-05
0.00106,9.7e-06
0.00108,1.51e-05
0.0011,9.5e-06
0.00112,1.37e-05
0.00114,1.3e-05
0.00116,1.29e-05
0.00118,1.46e-05
0.0012,1.25e-05
0.00122,1.61e-05
0.00124,1.12e-05
0.00126,1.65e-05
0.00128,1.07e-05
0.0013,1.67e-05
0.00132,1.01e-05
0.00134,1.64e-05
0.00136,9.6e-06
0.00138,1.55e-05
0.0014,9.1e-06
0.00142,1.39e-05
0.00144,9.1e-06
0.00146,1.22e-05
0.00148,1.39e-05
0.0015,1.18e-05
0.00152,1.48e-05
0.00154,1.09e-05
0.00156,1.5e-05
0.00158,1.04e-05
0.0016,1.57e-05
0.00162,1.03e-05
0.00164,1.57e-05
0.00166,9.8e-06
0.00168,1.54e-05
0.0017,9.6e-06
0.00172,1.45e-05
0.00174,9.4e-06
0.00176,1.29e-05
0.00178,8.7e-06
0.0018,1.18e-05
0.00182,8.5e-06
0.00184,1.19e-05
0.00186,8.3e-06
0.00188,1.06e-05
0.0019,1.41e-05
0.00192,1.02e-05
0.00194,1.47e-05
0.00196,9.8e-06
0.00198,1.46e-05
0.002,9.5e-06
